volume_author,bestseller_author,aRatio,trunc_volumetitle,volume_title,trunc_bestsellertitle,bestseller_title,tRatio,original_tRaio,volume_year,bestseller_year,docid
"churchill, winston, sir","churchill, winston",88,mr. crewe's career,"mr. crewe's career, by winston churchill... with illustrations by arthur i. keller.",mr. crewe's career,mr. crewe's career,100,100,1908.0,1908,nyp.33433074812219
"hémon, louis","hemon, louis",92,maria chapdelaine,"maria chapdelaine, a tale of the lake st. john country translated by w.h. blake.",maria chapdelaine,maria chapdelaine,100,100,1913.0,1922,uc1.32106001770475
"cornwell, patricia daniels","cornwell, patricia",82,from potter's field,from potter's field patricia cornwell.,from potter's field,from potter's field,100,100,1995.0,1995,mdp.39015034414261
"collins, jackie","collins, jackie",100,hollywood wives,hollywood wives by jackie collins.,hollywood wives,hollywood wives,100,100,1983.0,1983,mdp.39015058732960
"clancy, tom","clancy, tom",100,sum of all fears,the sum of all fears tom clancy.,sum of all fears,the sum of all fears,100,100,1991.0,1991,mdp.49015002943570
"cornwell, patricia daniels","cornwell, patricia",82,point of origin,point of origin patricia cornwell.,point of origin,point of origin,100,100,1998.0,1998,mdp.39015047111656
"clark, mary higgins","clark, mary higgins",100,i'll be seeing you,i'll be seeing you a novel mary higgins clark.,i'll be seeing you,i'll be seeing you,100,100,1993.0,1993,mdp.39015057016175
"clancy, tom","clancy, tom",100,debt of honor,debt of honor tom clancy.,debt of honor,debt of honor,100,100,1994.0,1994,mdp.39015035331548
"clark, mary higgins","clark, mary higgins",100,lottery winner,the lottery winner alvirah and willy stories mary higgins clark.,lottery winner,the lottery winner,100,100,1994.0,1994,mdp.39015053522317
"clark, mary higgins","clark, mary higgins",100,you belong to me,you belong to me mary higgins clark.,you belong to me,you belong to me,100,100,1998.0,1998,mdp.39015040365705
"abbott, eleanor hallowell","abbott, eleanor",75,molly make-believe,molly make-believe,molly make-believe,molly make-believe,100,100,1910.0,1911,uc2.ark+=13960=t8nc5ts38
"allen, james lane","allen, james lane",100,mettle of the pasture,the mettle of the pasture by james lane allen ...,mettle of the pasture,the mettle of the pasture,100,100,1903.0,1903,mdp.39015063739901
"churchill, winston, sir","churchill, winston",88,inside of the cup,the inside of the cup,inside of the cup,the inside of the cup,100,100,1913.0,1914,uc2.ark+=13960=t5j961j3j
"allen, james lane","allen, james lane",100,reign of law,the reign of law a tale of the kentucky hemp fields  with illustrations by harry fenn and j. c. earl.,reign of law,the reign of law,100,100,1900.0,1900,uc1.b3578550
"allen, james lane","allen, james lane",100,reign of law,the reign of law,reign of law,the reign of law,100,100,1900.0,1900,uc2.ark+=13960=t7gq6sf0x
"cornwell, patricia daniels","cornwell, patricia",82,unnatural exposure,unnatural exposure patricia cornwell.,unnatural exposure,unnatural exposure,100,100,1997.0,1997,mdp.39015041541072
"cornwell, patricia daniels","cornwell, patricia",82,hornet's nest,hornet's nest patricia cornwell.,hornet's nest,hornet's nest,100,100,1996.0,1997,mdp.39015038582691
"updike, john","updike, john",100,rabbit redux,rabbit redux john updike.,rabbit redux,rabbit redux,100,100,1971.0,1971,uc1.32106009338523
"clark, mary higgins","clark, mary higgins",100,silent night,silent night a novel mary higgins clark.,silent night,silent night,100,100,1995.0,1995,mdp.39015034535867
"clark, mary higgins","clark, mary higgins",100,moonlight becomes you,moonlight becomes you a novel mary higgins clark.,moonlight becomes you,moonlight becomes you,100,100,1996.0,1996,mdp.39015037434886
"cornwell, patricia daniels","cornwell, patricia",82,cause of death,cause of death patricia cornwell.,cause of death,cause of death,100,100,1996.0,1996,mdp.39015037806141
"aldrich, bess streeter","aldrich, bess streeter",100,a white bird flying,"a white bird flying,",a white bird flying,a white bird flying,100,100,1931.0,1931,mdp.39015065529813
"clark, mary higgins","clark, mary higgins",100,all through the night,all through the night mary higgins clark.,all through the night,all through the night,100,100,1998.0,1998,mdp.39015045693713
"cornwell, patricia daniels","cornwell, patricia",82,black notice,black notice patricia cornwell.,black notice,black notice,100,100,1999.0,1999,mdp.39015048765013
"caldwell, taylor","caldwell, taylor",100,answer as a man,answer as a man taylor caldwell.,answer as a man,answer as a man,100,100,1980.0,1980,pst.000018061024
"caine, hall, sir","caine, hall",81,woman thou gavest me,"the woman thou gavest me; being the story of mary o'neill, written by hall caine.",woman thou gavest me,the woman thou gavest me,100,100,1913.0,1913,mdp.39015061868900
"churchill, winston, sir","churchill, winston",88,a far country,"a far country,by winston churchill ... illustrated by herman pfeifer.",a far country,a far country,100,100,1915.0,1915,wu.89099773699
"conrad, joseph","conrad, joseph",100,arrow of gold,the arrow of gold a story between two notes by joseph conrad.,arrow of gold,the arrow of gold,100,100,1919.0,1919,nyp.33433074943238
"curwood, james oliver","curwood, james oliver",100,valley of silent men,"the valley of silent men; a story of the three river country, by james oliver curwood ... illustrated by dean cornwell.",valley of silent men,the valley of silent men,100,100,1920.0,1921,uc1.b3687303
"curwood, james oliver","curwood, james oliver",100,a gentleman of courage,"a gentleman of courage; a novel of the wilderness, by james oliver curwood; with illustrations by robert w. stewart.",a gentleman of courage,a gentleman of courage,100,100,1924.0,1924,mdp.39015063545332
"auchincloss, louis","auchincloss, louis",100,rector of justin,the rector of justin louis auchincloss.,rector of justin,the rector of justin,100,100,1964.0,1964,mdp.39015011909549
"cather, willa","cather, willa",100,shadows on the rock,shadows on the rock.,shadows on the rock,shadows on the rock,100,100,1931.0,1931,mdp.39015030728516
"carroll, gladys hasty","carroll, gladys hasty",100,as the earth turns,as the earth turns [by] gladys hasty carroll.,as the earth turns,as the earth turns,100,100,1933.0,1933,uc1.b3687497
"caldwell, taylor","caldwell, taylor",100,this side of innocence,this side of innocence.,this side of innocence,this side of innocence,100,100,1946.0,1946,uc1.$b87076
"cozzens, james gould","cozzens, james gould",100,by love possessed,by love possessed.,by love possessed,by love possessed,100,100,1957.0,1957,mdp.39015014235579
"crichton, robert","crichton, robert",100,secret of santa vittoria,the secret of santa vittoriaa novel.,secret of santa vittoria,the secret of santa vittoria,100,100,1966.0,1966,uc1.b3462574
"crichton, michael","crichton, michael",100,andromeda strain,the andromeda strain.,andromeda strain,the andromeda strain,100,100,1969.0,1969,mdp.39015020690858
"caldwell, taylor","caldwell, taylor",100,captains and the kings,captains and the kings.,captains and the kings,captains and the kings,100,100,1972.0,1972,mdp.39015054103059
"allen, hervey","allen, hervey",100,forest and the fort,the forest and the fort.,forest and the fort,the forest and the fort,100,100,1943.0,1943,mdp.39015005685535
"crichton, michael","crichton, michael",100,great train robbery,the great train robbery.,great train robbery,the great train robbery,100,100,1975.0,1975,mdp.39015054089407
"allen, hervey","allen, hervey",100,action at aquila,action at aquila by hervey allen.,action at aquila,action at aquila,100,100,1938.0,1938,uc1.$b56291
"allen, hervey","allen, hervey",100,anthony adverse,anthony adverse by hervey allen ; decorations by allan mcnab.,anthony adverse,anthony adverse,100,100,1933.0,1934,uc1.$b348168
"hémon, louis","hemon, louis",92,maria chapdelaine,maria chapdelaine by louis hémon ; a translation by w.h. blake.,maria chapdelaine,maria chapdelaine,100,100,1913.0,1922,uva.x004619705
"heyward, dubose","heyward, dubose",100,mamba's daughters,mamba's daughters by  du bose heyward.,mamba's daughters,mamba's daughters,100,100,1929.0,1929,mdp.39015031235727
"yerby, frank","yerby, frank",100,saracen blade,"the saracen blade, a novel.",saracen blade,the saracen blade,100,100,1952.0,1952,mdp.39015020716356
"smith, betty","smith, betty",100,a tree grows in brooklyn,a tree grows in brooklyn a novel by betty smith.,a tree grows in brooklyn,a tree grows in brooklyn,100,100,1943.0,1944,mdp.39015000613409
"fallada, hans","fallada, hans",100,"little man, what now?","little man, what now? by hans fallada [pseud.]","little man, what now?","little man, what now?",100,100,1933.0,1933,uc1.b4097312
"kennedy, margaret","kennedy, margaret",100,constant nymph,"the constant nymph, by margaret kennedy.",constant nymph,the constant nymph,100,100,1925.0,1925,mdp.39015005659381
"steinbeck, john","steinbeck, john",100,east of eden,east of eden john steinbeck.,east of eden,east of eden,100,100,1952.0,1952,mdp.39015058013270
"spring, howard","spring, howard",100,houses in between,the houses in between.,houses in between,the houses in between,100,100,1951.0,1952,mdp.39015014854023
"field, rachel","field, rachel",100,time out of mind,"time out of mind, by rachel field.",time out of mind,time out of mind,100,100,1935.0,1935,mdp.39015003341842
"ferber, edna","ferber, edna",100,come and get it,come and get it.,come and get it,come and get it,100,100,1936.0,1935,mdp.39015002725615
"schulberg, budd","schulberg, budd",100,disenchanted,the disenchanted by budd schulberg.,disenchanted,the disenchanted,100,100,1950.0,1950,pst.000032467321
"ferber, edna","ferber, edna",100,saratoga trunk,saratoga trunk.,saratoga trunk,saratoga trunk,100,100,1941.0,1941,uc1.b4097393
"streeter, edward","streeter, edward",100,father of the bride,father of the bride; illus. by gluyas williams.,father of the bride,father of the bride,100,100,1949.0,1949,mdp.39015012250489
"smith, betty","smith, betty",100,tomorrow will be better,tomorrow will be better; a novel.,tomorrow will be better,tomorrow will be better,100,100,1948.0,1948,uc1.b3295180
"field, rachel","field, rachel",100,and now tomorrow,and now tomorrow by rachel field.,and now tomorrow,and now tomorrow,100,100,1942.0,1942,pst.000002027432
"shellabarger, samuel","shellabarger, samuel",100,captain from castile,"captain from castile, by samuel shellabarger.",captain from castile,captain from castile,100,100,1945.0,1945,mdp.39015040760053
"keable, robert","keable, robert",100,simon called peter,simon called peter by robert keable.,simon called peter,simon called peter,100,100,1921.0,1922,njp.32101068971017
"smith, lillian eugenia","smith, lillian",78,strange fruit,"strange fruit, a novel.",strange fruit,strange fruit,100,100,1944.0,1944,uc1.32106014826249
"krantz, judith","krantz, judith",100,princess daisy,princess daisy judith krantz.,princess daisy,princess daisy,100,100,1980.0,1980,mdp.39015046449768
"sabatini, rafael","sabatini, rafael",100,mistress wilding,mistress wilding a romance by rafael sabatini.,mistress wilding,mistress wilding,100,100,1910.0,1924,mdp.49015001001198
"smith, lillian eugenia","smith, lillian",78,strange fruit,"strange fruit, a novel by lillian smith.",strange fruit,strange fruit,100,100,1944.0,1944,mdp.39015049691218
"keyes, frances parkinson","keyes, frances parkinson",100,blue camellia,blue camellia.,blue camellia,blue camellia,100,100,1957.0,1957,mdp.39015030701042
"steinbeck, john","steinbeck, john",100,east of eden,"east of eden, and, the wayward bus john steinbeck.",east of eden,east of eden,100,100,1952.0,1952,osu.32435017369950
"farnol, jeffery","farnol, jeffrey",93,definite object,"the definite object; a romance of new york, by jeffery farnol; with frontispiece by f. vaux wilson.",definite object,the definite object,100,100,1930.0,1917,mdp.39015063918422
"sagan, françoise","sagan, francoise",94,a certain smile,a certain smile a novel by françoise sagan [i.e. f. quoirez] ; translated from the french by anne green.,a certain smile,a certain smile,100,100,1956.0,1956,mdp.39015005780161
"seton, anya","seton, anya",100,winthrop woman,the winthrop woman.,winthrop woman,the winthrop woman,100,100,1958.0,1958,uc1.32106002144464
"stone, irving","stone, irving",100,love is eternal,love is eternal. edited for school use by george w. sullivan.,love is eternal,love is eternal,100,100,1957.0,1954,mdp.49015001330217
"steinbeck, john","steinbeck, john",100,winter of our discontent,the winter of our discontent john steinbeck.,winter of our discontent,the winter of our discontent,100,100,1961.0,1961,mdp.39015020668409
"farnol, jeffery","farnol, jeffrey",93,broad highway,"the broad highway, by jeffery farnol.",broad highway,the broad highway,100,100,1911.0,1911,mdp.39015011414011
"fox, john","fox, john jr.",82,heart of the hills,"the heart of the hills, by john fox, jr.; illustrated by f. c. yohn.",heart of the hills,heart of the hills,100,100,1913.0,1913,mdp.39015063549037
"farnol, jeffery","farnol, jeffrey",93,amateur gentleman,"the amateur gentleman, by jeffery farnol. with illustrations by herman pfeifer.",amateur gentleman,the amateur gentleman,100,100,1913.0,1913,mdp.39015063552882
"shute, nevil","shute, nevil",100,on the beach,on the beach [by] nevil shute [pseud.],on the beach,on the beach,100,100,1957.0,1957,mdp.39015013019701
"sagan, françoise","sagan, francoise",94,bonjour tristesse,bonjour tristesse [by] francoise sagan [pseud.] translated from the french by irene ash.,bonjour tristesse,bonjour tristesse,100,100,1955.0,1955,mdp.39015026963218
"kantor, mackinlay","kantor, mackinlay",100,andersonville,andersonville.,andersonville,andersonville,100,100,1955.0,1956,mdp.39015051424003
"stone, irving","stone, irving",100,immortal wife,immortal wife condensed and simplified for quick reading by lavinia r. davis.,immortal wife,immortal wife,100,100,1954.0,1945,pst.000030509108
"stone, irving","stone, irving",100,love is eternal,love is eternal; a novel about mary todd lincoln and abraham lincoln.,love is eternal,love is eternal,100,100,1954.0,1954,mdp.39015011604546
"steinbeck, john","steinbeck, john",100,sweet thursday,sweet thursday.,sweet thursday,sweet thursday,100,100,1954.0,1954,uc1.32106002148002
"keyes, frances parkinson","keyes, frances parkinson",100,steamboat gothic,steamboat gothic.,steamboat gothic,steamboat gothic,100,100,1952.0,1952,uc1.b3710831
"farnol, jeffery","farnol, jeffrey",93,amateur gentleman,the amateur gentleman a romance by jeffery farnol.,amateur gentleman,the amateur gentleman,100,100,1913.0,1913,uc1.b3834475
"knight, eric","knight, eric",100,this above all,"this above all, eric knight.",this above all,this above all,100,100,1941.0,1941,mdp.39015000625262
"farnol, jeffery","farnol, jeffrey",93,definite object,the definite object;,definite object,the definite object,100,100,1917.0,1917,nyp.33433075761738
"king, stephen","king, stephen",100,different seasons,different seasons stephen king.,different seasons,different seasons,100,100,1982.0,1982,mdp.39015035336281
"stone, irving","stone, irving",100,immortal wife,immortal wife the biographical novel of jessie benton fremont by irving stone.,immortal wife,immortal wife,100,100,1944.0,1945,mdp.39015014559408
"saroyan, william","saroyan, william",100,human comedy,"the human comedy, illustrated by don freeman.",human comedy,the human comedy,100,100,1943.0,1943,mdp.39015024078803
"spring, howard","spring, howard",100,"my son, my son!","my son, my son! /","my son, my son!","my son, my son!",100,100,1938.0,1938,uc1.$b105642
"kester, vaughan","kester, vaughan",100,prodigal judge,the prodigal judge,prodigal judge,the prodigal judge,100,100,1911.0,1911,uc2.ark+=13960=t1jh3f35g
"frazier, charles","frazier, charles",100,cold mountain,cold mountain charles frazier.,cold mountain,cold mountain,100,100,1997.0,1997,mdp.39015054038578
"king, stephen","king, stephen",100,skeleton crew,skeleton crew by stephen king.,skeleton crew,skeleton crew,100,100,1985.0,1985,uc1.32106007992271
"sedgwick, anne douglas","sedgwick, anne douglas",100,old countess,"the old countess, by anne douglas sedgwick (mrs. basil de sélincourt)",old countess,the old countess,100,100,1927.0,1927,uc1.$b244910
"hough, emerson","hough, emerson",100,mississippi bubble,the mississippi bubble,mississippi bubble,the mississippi bubble,100,100,1902.0,1902,uc2.ark+=13960=t8tb0zk8z
"sedgwick, anne douglas","sedgwick, anne douglas",100,little french girl,"the little french girl, by anne douglas sedgwick (mrs. basil de sélincourt)",little french girl,the little french girl,100,100,1924.0,1925,mdp.39015063952744
"king, stephen","king, stephen",100,eyes of the dragon,the eyes of the dragon a story by stephen king ; with illustrations by david palladini.,eyes of the dragon,the eyes of the dragon,100,100,1987.0,1987,mdp.49015002379759
"hough, emerson","hough, emerson",100,mississippi bubble,"the mississippi bubble how the star of good fortune rose and set and rose again, by a woman's grace, for one john law of lauriston a novel by emerson hough ; the illustrations by henry hutt.",mississippi bubble,the mississippi bubble,100,100,1902.0,1902,nyp.33433076064876
"hichens, robert","hichens, robert",100,garden of allah,"the garden of allah, by robert hichens.",garden of allah,the garden of allah,100,100,1904.0,1905,mdp.49015002772011
"king, stephen","king, stephen",100,tommyknockers,the tommyknockers by stephen king.,tommyknockers,the tommyknockers,100,100,1987.0,1987,uc1.32106010438106
"krantz, judith","krantz, judith",100,till we meet again,till we meet again judith krantz.,till we meet again,till we meet again,100,100,1988.0,1988,mdp.39015050822546
"harland, henry","harland, henry",100,my friend prospero,"my friend prospero; a novel, by henry harland ... frontispiece by louis loeb.",my friend prospero,my friend prospero,100,100,1904.0,1904,njp.32101066122613
"king, basil","king, basil",100,inner shrine,the inner shrine a novel of today illustrated.,inner shrine,the inner shrine,100,100,1909.0,1909,njp.32101063581712
"sinclair, may","sinclair, may",100,tree of heaven,"the tree of heaven, by may sinclair ...",tree of heaven,the tree of heaven,100,100,1917.0,1918,nyp.33433075756498
"king, stephen","king, stephen",100,four past midnight,four past midnight stephen king.,four past midnight,four past midnight,100,100,1990.0,1990,mdp.49015000870908
"yerby, frank","yerby, frank",100,benton's row,benton's row frank yerby.,benton's row,benton's row,100,100,1954.0,1954,mdp.39015014862448
"hough, emerson","hough, emerson",100,54-40 or fight,"54-40 or fight, by emerson hough.",54-40 or fight,54-40 or fight,100,100,1909.0,1909,mdp.39015063923869
"harrison, henry sydnor","harrison, henry sydnor",100,angela's business,"angela's business, by henry sydnor harrison; with illustrations by frederic r. gruger.",angela's business,angela's business,100,100,1915.0,1915,mdp.39015063550175
"hichens, robert","hichens, robert s.",91,in the wilderness,"in the wilderness; a novel, by robert hichens, with a frontispiece in color by george w. hood.",in the wilderness,in the wilderness,100,100,1917.0,1917,uc1.$b784260
"santayana, george","santayana, george",100,last puritan,"the last puritan, a memoir in the form of a novel, by george santayana.",last puritan,the last puritan,100,100,1936.0,1936,mdp.39015002758020
"steinbeck, john","steinbeck, john",100,of mice and men,of mice and men.,of mice and men,of mice and men,100,100,1937.0,1937,mdp.39015002260167
"clark, mary higgins","clark, mary higgins",100,my gal sunday,my gal sunday mary higgins clark.,my gal sunday,my gal sunday,100,100,1996.0,1996,mdp.39015038531136
"keillor, garrison","keillor, garrison",100,lake wobegon days,lake wobegon days garrison keillor.,lake wobegon days,lake wobegon days,100,100,1985.0,1985,mdp.39015047868867
"struther, jan","struther, jan",100,mrs. miniver,"mrs. miniver, by jan struther [pseud.]",mrs. miniver,mrs. miniver,100,100,1940.0,1940,mdp.39015028547191
"follett, ken","follett, ken",100,pillars of the earth,the pillars of the earth ken follett.,pillars of the earth,the pillars of the earth,100,100,1989.0,1989,pst.000051406523
"steen, marguerite","steen, marguerite",100,sun is my undoing,the sun is my undoing a novel by marguerite steen.,sun is my undoing,the sun is my undoing,100,100,1941.0,1942,mdp.39015030730850
"king, basil","king, basil",100,street called straight,"the street called straighta novel, by basil king ... illustrated by orson lowell.",street called straight,the street called straight,100,100,1912.0,1912,wu.89100335819
"fowles, john","fowles, john",100,daniel martin,daniel martin john fowles.,daniel martin,daniel martin,100,100,1977.0,1977,uc1.b4410359
"steinbeck, john","steinbeck, john",100,moon is down,the moon is down a novel by john steinbeck.,moon is down,the moon is down,100,100,1942.0,1942,mdp.39015050756801
"forsyth, frederick","forsyth, frederick",100,day of the jackal,the day of the jackal.,day of the jackal,the day of the jackal,100,100,1971.0,1972,mdp.39015003677161
"follett, ken","follett, ken",100,eye of the needle,eye of the needle a novel ken follett.,eye of the needle,eye of the needle,100,100,1978.0,1978,mdp.39015046419035
"kester, vaughan","kester, vaughan",100,just and the unjust,"the just and the unjust, by vaughan kester ... illustrations by m. leone bracker.",just and the unjust,the just and the unjust,100,100,1911.0,1912,nyp.33433076088826
"fast, howard","fast, howard",100,second generation,second generation howard fast.,second generation,second generation,100,100,1978.0,1978,mdp.39015010699794
"fleming, ian","fleming, ian",100,man with the golden gun,the man with the golden gun,man with the golden gun,the man with the golden gun,100,100,1964.0,1965,uc1.32106014452145
"steinbeck, john","steinbeck, john",100,grapes of wrath,the grapes of wrath [by] john steinbeck.,grapes of wrath,the grapes of wrath,100,100,1939.0,1940,mdp.39015004063601
"ullman, james ramsey","ullman, james ramsey",100,white tower,the white tower [by] james ramsey ullman.,white tower,the white tower,99,100,1945.0,1945,uc1.b4384779
"king, stephen","king, stephen",100,rose madder,rose madder stephen king.,rose madder,rose madder,99,100,1995.0,1995,mdp.39015046410182
"lewis, sinclair","lewis, sinclair",100,ann vickers,ann vickers by sinclair lewis.,ann vickers,ann vickers,99,100,1933.0,1933,mdp.39015000636095
"yerby, frank","yerby, frank",100,golden hawk,the golden hawk.,golden hawk,the golden hawk,99,100,1948.0,1948,uc1.b3727937
"lewis, sinclair","lewis, sinclair",100,main street,main street,main street,main street,99,100,1920.0,1921,uc2.ark+=13960=t05x25z6x
"mccullough, colleen","mccullough, colleen",100,thorn birds,the thorn birds colleen mccullough.,thorn birds,the thorn birds,99,100,1977.0,1977,mdp.39015020723501
"roberts, kenneth lewis","roberts, kenneth",84,boon island,boon island.,boon island,boon island,99,100,1955.0,1956,mdp.39015047106227
"kazan, elia","kazan, elia",100,arrangement,the arrangement; a novel.,arrangement,the arrangement,99,100,1967.0,1967,mdp.39015030699915
"lewis, sinclair","lewis, sinclair",100,main street,main street & babbitt sinclair lewis.,main street,main street,99,100,1951.0,1921,mdp.39015029714642
"lewis, sinclair","lewis, sinclair",100,main street,"main street, the story of carol kennicott, by sinclair lewis.",main street,main street,99,100,1921.0,1921,mdp.39015005343010
"clancy, tom","clancy, tom",100,rainbow six,rainbow six tom clancy.,rainbow six,rainbow six,99,100,1998.0,1998,mdp.39015057947536
"king, stephen","king, stephen",100,desperation,desperation stephen king.,desperation,desperation,99,100,1996.0,1996,mdp.39015038148048
"lewis, sinclair","lewis, sinclair",100,work of art,work of art.,work of art,work of art,99,100,1934.0,1934,mdp.39015014519741
"lewis, sinclair","lewis, sinclair",100,main street,main street,main street,main street,99,100,1922.0,1921,uc2.ark+=13960=t6d21s33j
"brooks, terry","brooks, terry",100,"star wars, episode i the phant","star wars, episode i the phantom menace terry brooks ; based on the story and screenplay by george lucas.","star wars: episode i, the phan","star wars: episode i, the phantom menace",99,93,1999.0,1999,mdp.39015047709533
"oppenheim, e. phillips (edward phillips)","oppenheim, e. phillips",71,pawns count,"the pawns count, by e. phillips oppenheim; with frontispiece by f. vaux wilson.",pawns count,the pawns count,99,100,1918.0,1918,nyp.33433075744957
"du maurier, daphne","du maurier, daphne",100,hungry hill,hungry hill.,hungry hill,hungry hill,99,100,1943.0,1943,mdp.39015009059281
"o'connor, edwin","o'connor, edwin",100,last hurrah,the last hurrah by edwin o'connor.,last hurrah,the last hurrah,99,100,1956.0,1956,mdp.39015015203519
"deeping, warwick","deeping, warwick",100,roper's row,"roper's row, by warwick deeping.",roper's row,roper's row,99,100,1929.0,1929,mdp.39015013000289
"williams, ben ames","williams, ben ames",100,unconquered,the unconquered.,unconquered,the unconquered,99,100,1953.0,1953,uc1.b3727443
"sedgwick, anne douglas","sedgwick, anne douglas",100,dark hester,"dark hester, by anne douglas sedgwick (mrs. basil de sélincourt)",dark hester,dark hester,99,100,1929.0,1929,uc1.$b244894
"francis, dick","francis, dick",100,wild horses,wild horses dick francis.,wild horses,wild horses,99,100,1994.0,1994,mdp.39015032715149
"deland, margaret wade campbell","deland, margaret",70,awakening of helena richie ,the awakening of helena richie ...,awakening of helena ritchie,the awakening of helena ritchie,99,96,1906.0,1906,mdp.39015012372374
"forsyth, frederick","forsyth, frederick",100,odessa file,the odessa file frederick forsyth.,odessa file,the odessa file,99,100,1972.0,1973,mdp.39015043787996
"bacheller, irving addison","bacheller, irving",81,eben holden,eben holden;,eben holden,eben holden,99,100,1900.0,1901,nc01.ark+=13960=t41r7kk60
"bacheller, irving addison","bacheller, irving",81,eben holden,eben holden's last day a-fishing.,eben holden,eben holden,99,100,1907.0,1901,wu.89095152047
"burnett, frances (hodgson)","burnett, frances hodgson",96,t. tembarom,t. tembarom by frances hodgson burnett ; with four illustrations by charles s. chapman.,t. tembarom,t. tembarom,99,100,1913.0,1914,mdp.39015063517422
"bailey, temple","bailey, temple",100,tin soldier,the tin soldier by temple bailey ; illustrations by f. vaux wilson.,tin soldier,the tin soldier,99,100,1918.0,1919,nyp.33433082485933
"steinbeck, john","steinbeck, john",100,wayward bus,the wayward bus john steinbeck.,wayward bus,the wayward bus,99,100,1947.0,1947,mdp.39015013934230
"shaw, irwin","shaw,irwin",95,young lions,the young lions by irwin shaw.,young lions,the young lions,99,100,1948.0,1948,mdp.39015004859578
"bailey, temple","bailey, temple",100,blue window,the blue window by temple bailey.,blue window,the blue window,99,100,1926.0,1926,mdp.39015061866300
"baum, vicki","baum, vicki",100,grand hotel,grand hotel; translated by basil creighton.,grand hotel,grand hotel,99,100,1931.0,1931,uc1.$b74556
"bentley, phyllis eleanor","bentley, phyllis",80,inheritance,"inheritance, by phyllis bentley.",inheritance,inheritance,99,100,1932.0,1932,mdp.39015031223848
"bacheller, irving addison","bacheller, irving",81,eben holden,"eben holden; a tale of the north country. boston, lothrop pub. co. [1900]",eben holden,eben holden,99,100,1900.0,1901,osu.32435016871469
"shellabarger, samuel","shellabarger, samuel",100,lord vanity,lord vanity.,lord vanity,lord vanity,99,100,1953.0,1953,uc1.b3553065
"shulman, max","shulman, max",100,"rally around the flag, boys","rally around the flag, boys.","rally round the flag, boys!","rally round the flag, boys!",99,96,1957.0,1957,mdp.39015009207724
"smith, francis hopkinson","smith, f. hopkinson",84,felix o'day,"felix o'day, by f. hopkinson smith; illustrated by george wright.",felix o'day,felix o'day,99,100,1915.0,1915,nyp.33433076026198
"van dyke, henry","van dyke, henry",100,blue flower,the blue flower by henry van dyke.,blue flower,the blue flower,99,100,1902.0,1902,nyp.33433076041544
"dennis, patrick","dennis, patrick",100,auntie mame,"auntie mame; an irreverent escapade in biography, by patrick dennis [pseud.]",auntie mame,auntie mame,99,100,1955.0,1956,mdp.39076006290279
"tarkington, booth","tarkington, booth",100,mary's neck,"mary's neck, by booth tarkington; frontispiece by wallace morgan.",mary's neck,mary's neck,99,100,1932.0,1932,uc1.$b245130
"conroy, pat","conroy, pat",100,beach music,beach music pat conroy.,beach music,beach music,99,100,1995.0,1995,mdp.39015034418932
"morley, christopher","morley, christopher",100,kitty foyle,kitty foyle.,kitty foyle,kitty foyle,99,100,1939.0,1940,uc1.b3456943
"marks, percy","marks, percy",100,plastic age,"the plastic age, by percy marks.",plastic age,the plastic age,99,100,1924.0,1924,mdp.39015005366441
"clavell, james","clavell, james",100,noble house,noble house a novel of contemporary hong kong james clavell.,noble house,noble house,99,100,1981.0,1981,pst.000019381688
"aldrich, bess streeter","aldrich, bess streeter",100,miss bishop,miss bishop [by] bess streeter aldrich.,miss bishop,miss bishop,99,100,1933.0,1933,mdp.39015063740214
"chase, mary ellen","chase, mary ellen",100,mary peters,"mary peters, by mary ellen chase.",mary peters,mary peters,99,100,1934.0,1934,mdp.39015030727955
"curwood, james oliver","curwood, james oliver",100,river's end,the river's end,river's end,the river's end,99,100,1919.0,1920,uc2.ark+=13960=t2f766f68
"thurston, katherine cecil","thurston, katherine cecil",100,masquerader,the masquerader a novel by katherine cecil thurston.,masquerader,the masquerader,99,100,1904.0,1905,mdp.39015027996860
"grey, zane","grey, zane",100,u. p. trail,"the u. p. trail; a novel, by zane grey.",u. p. trail,the u. p. trail,99,100,1918.0,1918,mdp.39015012336312
"walpole, hugh, sir","walpole, hugh",84,wintersmoon,"wintersmoon, by hugh walpole.",wintersmoon,wintersmoon,99,100,1928.0,1928,uc1.$b245177
"cholmondeley, mary","cholmondeley, mary",100,red pottage,"red pottage, by mary cholmondeley ...",red pottage,red pottage,99,100,1899.0,1900,nyp.33433082272703
"roberts, kenneth lewis","roberts, kenneth",84,boon island,boon island including contemporary accounts of the wreck of the nottingham galley kenneth roberts ; edited by jack bales and richard warner.,boon island,boon island,99,100,1957.0,1956,mdp.39015037465476
"hurst, fannie","hurst, fannie",100,back street,back street.,back street,back street,99,100,1931.0,1931,uc1.b4384802
"crichton, michael","crichton, michael",100,disclosure,disclosure a novel by michael crichton.,disclosure,disclosure,98,100,1994.0,1994,uc1.32106016478502
"crichton, michael","crichton, michael",100,lost world,the lost world a novel by michael crichton.,lost world,the lost world,98,100,1995.0,1995,mdp.39015066047674
"cussler, clive","cussler, clive",100,flood tide,flood tide a novel clive cussler.,flood tide,flood tide,98,100,1997.0,1997,mdp.39015040577507
"bromfield, louis","bromfield, louis",100,rains came,the rains came.,rains came,the rains came,98,100,1942.0,1938,miun.acm3742.0001.001
