,raw_pub,best_match,best_match_prob
5489,way translations),Nation,64.33333333333333
5490,-i NY Tribune pS N,N Y Tribune,81.66666666666667
5491,"to bring any person or scene to life."" h Sat R of Lit",Sat R of Lit,79.33333333333333
5492,Cleveland pgl Jl,Cleveland Open Shelf,69.33333333333333
5493,NY Tribune pl'J My,N Y Tribune,77.0
5494,NY World plOs My,N Y World,72.0
5495,N Y Tribune plO Je,N Y Tribune,92.0
5496,J New Repub,New Repub,96.66666666666667
5498,N Y Tribune plO My,N Y Tribune,92.0
5499,out.' Boston Transcript,Boston Transcript,96.33333333333333
5500,Livino Age,Living Age,90.0
5501,_| New Repub,New Repub,96.66666666666667
5502,_) New Statesman,New Statesman & Nation,84.66666666666667
5503,h Booklist,Booklist,96.33333333333333
5504,T Ind,Ind,91.66666666666667
5505,Int Bk R plOl Ja,Int Bk R,89.0
5506,The Timei [London] Lit Sup,Times [London] Lit Sup,89.0
5507,'+ Cath World,Cath World,100.0
5508,NY Tribune pi Mr,N Y Tribune,78.66666666666667
5509,4)'Sat R of Lit,Sat R of Lit,97.33333333333333
5510,-» NY Times,N Y Times,90.0
5511,quith].,Ath,55.666666666666664
5513,"like to see more of Ivanov's work."" Edwin Muir (- Nation and Ath",Nation and Ath,79.33333333333333
5514,N Y Tribune pll Ap,N Y Tribune,92.0
5515,"of indiscriminate mediocrity."" Edwin Bjorkman (- Lit R",Lit R,73.0
5516,-| NY Tribune pll My,N Y Tribune,77.66666666666667
5517,Boston Transcript po O,Boston Transcript,95.66666666666667
5518,Int Bk R p!l8 Ja,Int Bk R,89.0
5519,N Y Times pfl O,N Y Times,91.66666666666667
5520,N Y Tribune pll S,N Y Tribune,93.0
5521,Clme _ N Y Tribune plO S,N Y Tribune,87.66666666666667
5522,Pratt plO autumn,Pratt,82.66666666666667
5523,! Sprlngf'd Republican plO Ag,Springfield Republican,73.33333333333333
5524,h Sat 'R,Sat R,87.66666666666667
5525,"stories evidence a reversion."" Russell Wright h N Y Tribune pll My",N Y Tribune,76.33333333333333
5527,Lit R D,Lit R,94.33333333333333
5528,h Sat R of 'Lit,Sat R of Lit,94.66666666666667
5529,Outlook 141:4S5 N,Outlook,86.0
5530,Ind ll.r>:179 O,Ind,78.33333333333333
5531,.-j- New Statesman,New Statesman & Nation,81.66666666666667
5532,N Y Tribune pll F,N Y Tribune,93.0
5533,"ans'""+ Living Age",Living Age,94.33333333333333
5534,Nation 121:sup442 O,Nation,82.66666666666667
5535,N Y Tribune pa Mr,N Y Tribune,93.0
5536,'+' Lit R,Lit R,100.0
5537,N Y World pirn My,N Y World,89.66666666666667
5538,(• Outlook,Outlook,100.0
5539,"Tphe10J'mes [Lo""don] Lit Sup",Times [London] Lit Sup,69.33333333333333
5540,N Y Tribune pis N,N Y Tribune,93.0
5541,A The Times [London] Lit Sup,Times [London] Lit Sup,95.66666666666667
5542,-j Sat R,Sat R,94.33333333333333
5543,-( Sat R of Lit,Sat R of Lit,100.0
5544,h- The Times [London] Lit Sup,Times [London] Lit Sup,95.66666666666667
5545,-| Ind,Ind,100.0
5546,-) fnt Bk R,Int Bk R,88.0
5547,"Kennedy and the characters are a little pale."" h N Y Tribune",N Y Tribune,77.33333333333333
5548,N Y Tribune pll Ja,N Y Tribune,92.0
5549,;- Boston Transcript,Boston Transcript,100.0
5550,New Statesman 24:supvlii D,New Statesman & Nation,68.0
5551,Cleveland pSS S,Cleveland Open Shelf,76.33333333333333
5552,N Y Tribune pB S,N Y Tribune,93.66666666666667
5553,Sat R of Lit 1:!)35 Jl,Sat R of Lit,91.66666666666667
5555,"on the aspect of a bal masque."" r N Y Times pS N",N Y Times,77.66666666666667
5557,-\ The Times [LondonJ Lit Sup,Times [London] Lit Sup,91.0
5558,Boston Transcript pi O It,Boston Transcript,93.66666666666667
5559,"Cath World 121:.~,60",Cath World,91.33333333333333
5560,NY Times pS My,N Y Times,73.66666666666667
5562,N Y Tribune pi Ja,N Y Tribune,93.0
5563,Boston Transcript p- S,Boston Transcript,96.33333333333333
5564,-[ NY Tribune plO D,N Y Tribune,78.66666666666667
5565,Bookm 61:xix Ag,Bookm,83.33333333333333
5566,Booklist 21:2-10 Mr,Booklist,86.33333333333333
5567,-•- Sat R of Lit,Sat R of Lit,100.0
5568,New Statesman 26:supxxiv D,New Statesman & Nation,68.0
5569,N Y Tribune pll N,N Y Tribune,93.0
5570,Boston Transcript \ifi,Boston Transcript,96.33333333333333
5571,N Y Tribune pi S,N Y Tribune,93.66666666666667
5572,Lit R pt> Ag,Lit R,87.33333333333333
5573,"tion adds difficulties to the reader."" h Spec",Spec,72.33333333333333
5574,r- Sprlngf'd Republican,Springfield Republican,80.0
5575,"the attempt to make anything real of his tale."" Boston Transcript",Boston Transcript,80.66666666666667
5576,NY Tribune pll Mr,N Y Tribune,77.66666666666667
5577,Bocklist,Booklist,88.0
5578,N Y World pirn F,N Y World,90.66666666666667
5579,-) Bn .tun Transcript,Boston Transcript,76.0
5580,. N Y Tribune plO Mr,N Y Tribune,92.0
5581,N Y World pGm Mr,N Y World,90.66666666666667
5582,H'Sat R of Lit,Sat R of Lit,97.33333333333333
5583,"also diabolically discerning."" Gerald Gould j- Sat R",Sat R,73.0
5584,"so narrow a scene."" Andrew Carey h Spec",Spec,73.33333333333333
5585,"selves, are not simple."" Margery Latimer h N Y Tribune",N Y Tribune,78.33333333333333
5586,Ind 115:6-18 D,Ind,78.33333333333333
5587,NY Tribune plO D,N Y Tribune,78.66666666666667
5588,J The Times [London] Lit Sup,Times [London] Lit Sup,95.66666666666667
5589,t- lit Bk R,Int Bk R,77.0
5590,_ _|_ New Statesman 25:supxiv My,New Statesman & Nation,67.0
5591,N Y Tribune plO F,N Y Tribune,93.0
5592,f Sat R of Lit,Sat R of Lit,97.33333333333333
5593,f Springfd Republican,Springfield Republican,87.33333333333333
5594,-j- _ N Y Times,N Y Times,94.0
5595,; Springf'd Republican,Springfield Republican,86.0
5596,Brooke from the,Bookm,60.0
5597,New Repub 41:2.13 O,New Repub,88.0
5598,-f- Boston Transcript pi My,Boston Transcript,93.66666666666667
5599,(- Lit R plO Mr,Lit R,86.33333333333333
5600,"Is well handled; but it is not a very good book."" N Y Times",N Y Times,76.0
5604,Lit K pi Ja 'J,Lit R,66.33333333333333
5605,New'Repub,New Repub,96.33333333333333
5606,'__I Boston Transcript,Boston Transcript,96.33333333333333
5607,It hus,St Louis,54.666666666666664
5608,-I NY Tribune pi My,N Y Tribune,77.0
5609,The Times [London1 Lit Sup,Times [London] Lit Sup,91.0
5610,N Y Tribune My,N Y Tribune,96.0
5611,Cleveland pllS D,Cleveland Open Shelf,71.33333333333333
5612,-) ind,Ind,89.0
5613,.( Sat R of Lit,Sat R of Lit,100.0
5614,"would enjoy picking up from time to time."" h Bookm",Bookm,73.0
5615,Mary Ross ^ Tribune pj D,N Y Tribune,69.33333333333333
5616,"large audience."" Herschel Brickell Lit R",Lit R,74.33333333333333
5617,"he has unfortunately felt it necessary to be."" i- Outlook",Outlook,74.33333333333333
5618,Springfd Republican pC N,Springfield Republican,84.0
5619,N Y Tribune pi My,N Y Tribune,93.0
5620,"""^ New Statesman",New Statesman & Nation,86.66666666666667
5621,-f- Int Bk R,Int Bk R,96.33333333333333
5622,-j- Atlantic's Bookshelf N,Atlantic Bookshelf,91.66666666666667
5623,r- Sat R,Sat R,94.33333333333333
5624,recm. BNew 'fiepub,New Repub,65.0
5625,_ N Y Tribune,N Y Tribune,97.33333333333333
5626,'N Y World,N Y World,100.0
5627,|- Sat R,Sat R,100.0
5628,& Liveright,Living Age,53.0
5629,N Y Tribune plO Jl,N Y Tribune,92.0
5630,NY Tribune pll Je,N Y Tribune,77.66666666666667
5631,Dial 79:2GO S,Dial,82.33333333333333
5632,'|- N Y Times,N Y Times,100.0
5633,NY Tribune plO Ap,N Y Tribune,77.66666666666667
5634,people^' 0ut|Qok,Outlook,51.0
5635,novel.'^_ The T|mes [London] Llt Sup,Times [London] Lit Sup,73.33333333333333
5636,Boston- Transcript,Boston Transcript,98.0
5637,Nation and Ath 36:4.12 D,Nation and Ath,91.33333333333333
5638,"frightening the timid reader awny."" H N Y Times",N Y Times,77.66666666666667
5639,Spec 133:sup838 N,Spec,79.33333333333333
5640,Lit -R,Lit R,93.33333333333333
5641,N Y World pGm N,N Y World,91.66666666666667
5642,N Y World pirn S,N Y World,90.66666666666667
5643,Bookm 62:21-1 O,Bookm,83.33333333333333
5645,f- Nation and Ath,Nation and Ath,97.66666666666667
5646,N Y Times pG Ag,N Y Times,91.66666666666667
5647,-j NY Tribune pll Mr,N Y Tribune,76.33333333333333
5648,^ Springf'd Republican,Springfield Republican,86.0
5649,'iy-j Dial,Dial,87.33333333333333
5650,|- Lit R pa D,Lit R,89.0
5651,Living Age',Living Age,100.0
5653,ut Sup,Times [London] Lit Sup,62.666666666666664
5654,IS,S,78.0
5655,-) Booklist,Booklist,100.0
5656,NY Times pS S,N Y Times,75.33333333333333
5657,ternational pub.,Nation,65.66666666666667
5658,I- N Y Times,N Y Times,96.66666666666667
5660,Hist Outlook,Outlook,91.33333333333333
5662,N Y Times pO Ja,N Y Times,91.66666666666667
5664,"for the sentimental consolation of chorus girls."" r- Springf d Republican",Springfield Republican,64.33333333333333
5665,'New Statesman,New Statesman & Nation,90.66666666666667
5666,_| NY Tribune pll N,N Y Tribune,81.0
5667,"ibility of deft copies of great originals."" h New Repub",New Repub,76.33333333333333
5668,The Times [London] Lit Sup plO Ja,Times [London] Lit Sup,92.66666666666667
5669,NY Tribune pll My,N Y Tribune,77.66666666666667
5670,• Nation and Ath,Nation and Ath,100.0
5672,"handle as well as his masters."" h Spec",Spec,73.33333333333333
5673,_| NY Tribune pH S,N Y Tribune,77.66666666666667
5674,Ind 115:!i33 N,Ind,79.33333333333333
5675,; New Repub,New Repub,100.0
5676,New Statesman 24:supx D,New Statesman & Nation,70.66666666666667
5677,Booklist 22:lfil Ja,Booklist,86.33333333333333
5679,-f- Atlantic's Bookshelf Ap,Atlantic Bookshelf,91.0
5680,N Y Tribune pi F,N Y Tribune,93.66666666666667
5681,.Sat R of Lit,Sat R of Lit,100.0
5682,Boston Transcript p« Ag,Boston Transcript,95.66666666666667
5683,"banker, one of the sharp gentry."" Bookm",Bookm,74.66666666666667
5684,r Bookm,Bookm,94.33333333333333
5685,Ind 11!>:304 S,Ind,80.0
5686,"""t,T.^f J'mes [London] Lit Sup",Times [London] Lit Sup,81.0
5687,•J,Library J,56.666666666666664
5688,. Wis Lib Bui,Wis Lib Bui,100.0
5689,"Lit R plO ,Ia",Lit R,86.33333333333333
5690,N Y Tribune plfl Ja,N Y Tribune,91.0
5691,-i- The Times [Londonj Lit Sup,Times [London] Lit Sup,88.33333333333333
5692,Boston Transcript pf> O,Boston Transcript,95.66666666666667
5693,Boston Transcript pa Ap,Boston Transcript,95.0
5694,-i- Springf'd Republican,Springfield Republican,84.66666666666667
5695,Lit R pi S,Lit R,89.0
5696,N Y Tribune pi N,N Y Tribune,93.66666666666667
5697,Outlook 141:24.'! O,Outlook,87.0
5698,+2jJh? Times [London] Lit Sup,Times [London] Lit Sup,96.33333333333333
5699,tle,Yale R,51.666666666666664
5700,Ind 11G:«50 D,Ind,80.0
5701,j- New Repub,New Repub,96.66666666666667
5702,-\ NY Tribune pS N,N Y Tribune,83.33333333333333
5703,"pected to learn them by rote."" C. B. Green h Outlook",Outlook,75.0
5704,Springf'd Republican pS O,Springfield Republican,80.0
5706,s'pnngf'd Republican,Springfield Republican,67.66666666666667
5708,lid,Ind,55.666666666666664
5709,"not appear to be the historical novel."" h N Y Tribune",N Y Tribune,78.33333333333333
5710,Century,Christian Century,86.0
5712,f N Y Tribune plO N S,N Y Tribune,89.66666666666667
5713,"abilities as the author of 'Messer Marco Polo.' ""h Ind",Ind,70.33333333333333
5714,---- H N Y Times,N Y Times,96.66666666666667
5715,---- N Y Tribune plO Je,N Y Tribune,92.0
5716,.Boston Transcript,Boston Transcript,100.0
5717,Nation and Ath 35:sup247 My,Nation and Ath,89.33333333333333
5718,from,Forum,61.333333333333336
5719,Sat'R of Lit,Sat R of Lit,97.33333333333333
5721,an historical novel it is not very significant. h Sat R of Lit,Sat R of Lit,77.66666666666667
5723,-Sat R of Lit,Sat R of Lit,100.0
5724,Lit R pi O,Lit R,89.0
5725,h Atlantic's Bookshelf Je,Atlantic Bookshelf,91.0
5727,N Y Tribune pi Ap,N Y Tribune,93.0
5728,NY Tribune plO Je,N Y Tribune,77.66666666666667
5729,springfd Republican,Springfield Republican,90.0
5730,-+• Cleveland,Cleveland Open Shelf,77.0
5731,N Y World pOm Ja,N Y World,90.66666666666667
5732,Boston Transcript pfi Jl,Boston Transcript,94.33333333333333
5733,N Y World pCm Ap,N Y World,90.66666666666667
5734,Wi« Lib Bui,Wis Lib Bui,93.66666666666667
5735,Bookra,Books,75.33333333333333
5736,lot Bk R,Int Bk R,75.0
5737,•!- Boston Transcript,Boston Transcript,100.0
5738,NY Tribune plO Mr,N Y Tribune,77.66666666666667
5739,riage.'^ E^a Transcript,Boston Transcript,66.0
5740,-j- NY Tribune,N Y Tribune,86.66666666666667
5743,"the author to provide a variety of theme."" h Spec",Spec,72.0
5744,-\ Nation and Ath,Nation and Ath,100.0
5745,NY Tribune po,N Y Tribune,83.0
5746,N Y World pGm Ap,N Y World,90.66666666666667
5748,';• Boston Transcript,Boston Transcript,100.0
5749,Ind 115:3<;7 S,Ind,79.33333333333333
5750,NY Times pG Ag,N Y Times,73.66666666666667
5751,-| Lit P.,Lit R,80.0
5752,_ New statesman.23:130 My,New Statesman & Nation,66.66666666666667
5753,"Produce his factitious or artificial diction."" Boston Transcript",Boston Transcript,81.0
5754,The Times [London]'Lit Sup plS6 Mr,Times [London] Lit Sup,90.66666666666667
5755,-J- Lit R plO Ja,Lit R,84.33333333333333
5756,-t- N Y World pile Ja,N Y World,88.0
5757,The Times Ll-ondon] Lit Sup,Times [London] Lit Sup,88.33333333333333
5758,h Int Bk R pGO D,Int Bk R,89.0
5759,H- New Statesman,New Statesman & Nation,84.66666666666667
5760,-NY Tribune plO O,N Y Tribune,78.66666666666667
5761,N Y Tribune p'J O,N Y Tribune,93.0
5762,-i • Spec,Spec,93.33333333333333
5764,• -j Boston Transcript,Boston Transcript,98.0
5765,The Times [ London | Lit Sup,Times [London] Lit Sup,92.33333333333333
5766,N Y World pCm Mr,N Y World,90.66666666666667
5767,-i int Bk R,Int Bk R,92.33333333333333
5768,Nation and Ath 37:(JUO Ag,Nation and Ath,91.33333333333333
5769,"N Y Tribune plo N""",N Y Tribune,93.0
5770,Sat R 13<i:676 Je,Sat R,81.66666666666667
5771,h N Y Tribune pll Ap,N Y Tribune,90.33333333333333
5772,f- N Y World,N Y World,96.66666666666667
5773,Atlantic's Bookshelf My,Atlantic Bookshelf,92.33333333333333
5775,Lit R pS F,Lit R,89.0
5776,-NY World,N Y World,88.33333333333333
5777,-j Lit R plO Ja,Lit R,84.33333333333333
5778,N Y World pSe Ja,N Y World,90.66666666666667
5779,-j Int Bk R,Int Bk R,96.33333333333333
5780,n Y Times,N Y Times,96.33333333333333
5781,N Y World pirn Ag,N Y World,89.66666666666667
5782,Sprlngf d Republican pi'2 Jl,Springfield Republican,72.66666666666667
5783,-}- Sat R of Lit,Sat R of Lit,100.0
5784,liu Bk R,Int Bk R,70.66666666666667
5785,"kind of originality there is."" Gerald Gould (- Sat R",Sat R,73.0
5786,f- Int Bk R pels Ag,Int Bk R,87.33333333333333
5787,"m""+'— The Times [London] Lit Sup",Times [London] Lit Sup,95.66666666666667
5788,"thought nor feeling of consequence."" h N Y World",N Y World,77.66666666666667
5789,NY Times p'J S,N Y Times,73.66666666666667
5790,The Times [ LondonJ Lit Sup,Times [London] Lit Sup,89.66666666666667
5791,Nation 121:sup443 O,Nation,82.66666666666667
5792,"lighted by laughter or shadowed by sorrow."" h New Statesman",New Statesman & Nation,65.66666666666667
5793,[- Int Bk R,Int Bk R,100.0
5794,N Y Tribune plO Ap,N Y Tribune,92.0
5795,-t NY World,N Y World,84.0
5796,genious^. Bost(jn Transcrlpt,Boston Transcript,76.66666666666667
5797,The Timet [London] Lit Sup,Times [London] Lit Sup,89.0
5798,h New Statesman 26:supxxiv D,New Statesman & Nation,67.0
5799,N Y Times pS Ja,N Y Times,91.66666666666667
5800,"Boston Transcript p.""> O",Boston Transcript,96.33333333333333
5801,-j- Spec,Spec,93.33333333333333
5802,Boo km 62:xlv N,N,70.66666666666667
5803,New Repub 44:supl S,New Repub,88.0
5804,-+- N Y Times,N Y Times,100.0
5805,Boston Transcript pG,Boston Transcript,97.33333333333333
5806,-+- Lit R,Lit R,100.0
5807,"court trials, and lawyer?' court tactics."" Outlook",Outlook,75.66666666666667
5808,"flashes of first-rate writing."" K. C. Beckwith h Lit R",Lit R,72.66666666666667
5809,"J|_ N Y Tribune pi"") K",N Y Tribune,90.33333333333333
5810,-| • Sat R of Lit,Sat R of Lit,100.0
5811,Springf'd Republican paa O,Springfield Republican,78.66666666666667
5812,r Int Bk R,Int Bk R,96.33333333333333
5813,-\ Ind,Ind,100.0
5814,NY World pfim Ap,N Y World,72.0
5815,YUSt Lit R,Lit R,89.0
5816,Ind 11-1:423 Ap,Ind,77.66666666666667
5817,_N Y Tribune,N Y Tribune,97.33333333333333
5818,A romance of the,Sat R of Lit,50.0
5819,J- Spec,Spec,93.33333333333333
5821,Sprlnof'd Republican plO Ap,Springfield Republican,66.66666666666667
5823,The Times [Londonj Lit Sup,Times [London] Lit Sup,91.0
5824,J (- N Y Tribune,N Y Tribune,97.33333333333333
5825,dialect/' s^ R Qf L|t,Sat R of Lit,59.333333333333336
5826,"profitless as philosophy."" Gerald Bullett Sat R",Sat R,73.33333333333333
5827,Bookm 61:6H5 Ag,Bookm,83.33333333333333
5828,"M""+ Nation and Ath",Nation and Ath,97.66666666666667
5829,e!}!ieNew statesman,New Statesman & Nation,71.66666666666667
5830,-| No Am,No Am,100.0
5831,-| . The Times [London] Lit Sup,Times [London] Lit Sup,97.0
5832,"is very impressive."" N Y Times",N Y Times,83.0
5833,"story as a storv is distinctly less."" H. I. Brock h N Y Times",N Y Times,75.66666666666667
5834,Boston Transcript pG S,Boston Transcript,95.66666666666667
5835,(-Sat R of Lit,Sat R of Lit,100.0
5836,-i New Statesman,New Statesman & Nation,86.66666666666667
5837,-| Boston Transcript po My,Boston Transcript,95.0
5838,Lit R p!) n,Lit R,90.33333333333333
5839,"and wooden."" Donald Douglas h Int Bk R",Int Bk R,78.66666666666667
5840,"wears a high silk hat and dollar signs."" [- N Y Times",N Y Times,77.33333333333333
5841,_ N Y Tribune plO F,N Y Tribune,91.0
5842,r Ind,Ind,91.66666666666667
5843,Dial 79:11(1 N,Dial,81.33333333333333
5844,Ind 114:G-17 Je,Ind,77.66666666666667
5845,-\ NY Tribune,N Y Tribune,92.0
5846,-f- Nation and Atii,Nation and Ath,87.0
5847,Lit R po N,Lit R,89.0
5848,•i New Repub,New Repub,96.66666666666667
5851,Bookm 61:xxix JI,Bookm,82.66666666666667
5852,travel on the,Theatre Arts Mo,52.0
5853,New Statesman 26:supxiv N,New Statesman & Nation,71.33333333333333
5854,The Times ILondonl Lit Sup,Times [London] Lit Sup,84.0
5856,Cleveland plUS N,Cleveland Open Shelf,73.0
5858,CYNIC'S cyclopaedia.,S,70.0
5860,h 'nt Bk R,Int Bk R,84.0
5861,NY Tribune pll Ja,N Y Tribune,77.66666666666667
5862,Sprlngf'd Republican pTa O,Springfield Republican,74.66666666666667
5863,-| Lit R plO Ja,Lit R,86.33333333333333
5864,•i- Nation and Ath,Nation and Ath,97.66666666666667
5865,tLondon] L't Sup,Times [London] Lit Sup,67.33333333333333
5866,Sa» R of Lit,Sat R of Lit,94.66666666666667
5870,V Booklist,Booklist,96.33333333333333
5871,similar,summary,57.0
5872,Sprinyfd Republican pTa Ja,Springfield Republican,77.33333333333333
5873,N Y Times pU Ap,N Y Times,91.66666666666667
5874,"rule, is almost faultless."" Katherine Keith h New Repub",New Repub,76.66666666666667
5875,h The Timem [London] Lit Sup,Times [London] Lit Sup,87.0
5876,Int Bk R pSC D,Int Bk R,91.0
5877,h N Y Timei,N Y Times,83.0
5878,-j NY Tribune pi N,N Y Tribune,81.66666666666667
5879,"the silliest and most annoying."" N Y Times",N Y Times,79.0
5880,. f- Outlook,Outlook,96.0
5881,NY Times pS Je,N Y Times,73.66666666666667
5882,I Dial,Dial,93.33333333333333
5884,"of the more serious novels of the frontier."" h N Y Times",N Y Times,76.33333333333333
5885,liid,J Religion,53.666666666666664
5887,"of the born story-teller."" Gilbert Parker h N Y Tribune",N Y Tribune,78.0
5888,)- Boston Transcript pi Mr,Boston Transcript,95.0
5890,Tha Times [London] Lit Sup,Times [London] Lit Sup,97.0
5891,-i NY Times pS Mr,N Y Times,72.0
5892,f- N Y tribune,N Y Tribune,94.33333333333333
5893,-I -NY Tribune pll N,N Y Tribune,81.0
5894,sin,Ind,55.666666666666664
5895,"he is locked within it."" Avrahm Tarmolinsky r- N Y Tribune pll Mr",N Y Tribune,76.66666666666667
5896,H—- Boston Transcript,Boston Transcript,98.0
5897,N Y Tribune pi Ag,N Y Tribune,93.0
5898,Cleveland pX(,Cleveland Open Shelf,80.0
5899,-I NY Tribune pll Ap,N Y Tribune,76.33333333333333
5900,.f. Nation,Nation,95.33333333333333
5901,Bookm 62:50fi D,Bookm,83.33333333333333
5902,The Times [London] Lit Sup pllS F,Times [London] Lit Sup,92.66666666666667
5903,-f- N Y Tribune plO My,N Y Tribune,90.33333333333333
5904,h N Y World pirn Je,N Y World,88.0
5905,|- N Y Times,N Y Times,100.0
5906,\- N Y Call,N,74.0
5908,Sprlngf'd Republican plB S,Springfield Republican,74.66666666666667
5909,* Dial,Dial,100.0
5910,New Repub 13:supl2 N,New Repub,87.33333333333333
5911,-) Lit D,Lit D,100.0
5912,"for the rest the writer's animus is overplain."" h Nation",Nation,73.33333333333333
5913,NY Call,N,50.0
5914,New Repub 13:supl4 N,New Repub,87.33333333333333
5915,• Dial,Dial,100.0
5916,Boston Transcript pS Ja,Boston Transcript,95.0
5917,Boston .Transcript,Boston Transcript,98.0
5918,-( Ind,Ind,100.0
5919,R of R«,R of Rs,92.66666666666667
5920,Books and Authors Je,Books,80.0
5921,Evening Ledger [Philadelphia] My,N Y Evening Post,51.333333333333336
5922,-i Spi ingf'd Republican,Springfield Republican,72.33333333333333
5923,Sprlngf'd Republican plS Jl,Springfield Republican,73.33333333333333
5924,"to a merry wedding breakfast."" N Y Call",N,68.33333333333333
5928,•+• Ind,Ind,100.0
5929,Sprlngf'd Republican plS Ag,Springfield Republican,73.33333333333333
5930,Ontario Library Review,Review,81.0
5931,Springf'd Republican plB S,Springfield Republican,78.66666666666667
5932,"as a literary disaster."" W: L. Phelps h N Y Times",N Y Times,77.66666666666667
5933,. Springf'd Republican,Springfield Republican,86.0
5934,the year,New Yorker,50.0
5935,Sat R 124:sup5 S,Sat R,82.66666666666667
5936,sition from,Nation,53.666666666666664
5937,p. Springf'd Republican,Springfield Republican,84.66666666666667
5938,Sprlngf'd Republican plo D,Springfield Republican,75.66666666666667
5939,"we can say for It."" H. W. Boynton h Bookm",Bookm,74.66666666666667
5941,•; WIs Lib Bui,Wis Lib Bui,97.0
5942,-I New Repub 13:supl6 N,New Repub,86.0
5943,-i- Ind,Ind,91.66666666666667
5944,•i • Dial,Dial,93.33333333333333
5945,New Repub 13:suDl4 N,New Repub,87.33333333333333
5946,Pub W 92:8(12 S,Pub W,83.33333333333333
5947,-) Sprlngf'd Republican,Springfield Republican,82.66666666666667
5948,Sat R 123:sup4 My,Sat R,81.66666666666667
5949,•+ Pub W,Pub W,100.0
5950,NY Call plB S,S,71.33333333333333
5951,r Outlook,Outlook,96.0
5952,Sprlngf'd Republican plS Je,Springfield Republican,73.33333333333333
5954,"T. Fisher Unwin, London",Times [London] Lit Sup,53.0
5955,"complete translation of the tales."" h Sat R",Sat R,74.0
5957,i- Boston Transcript pS Mr,Boston Transcript,93.66666666666667
5958,New Repub 10:sup22 Ap,New Repub,86.66666666666667
5959,"it Ihe,Zimes [London] Lit Sup",Times [London] Lit Sup,87.0
5960,a8r+e'The Times [London] Lit Sup,Times [London] Lit Sup,93.33333333333333
5961,published in,Springfield Republican,51.333333333333336
5962,h D'al,Dial,51.666666666666664
5963,•f- Sprlngf'd Republican,Springfield Republican,80.0
5964,. H NY Times,N Y Times,84.0
5965,-J The Times [London] Lit Sup,Times [London] Lit Sup,95.66666666666667
5966,"than sound and sincere."" H. W. Boynton h Bookm",Bookm,73.66666666666667
5967,r Ath,Ath,91.66666666666667
5968,"•Beyond' would be utterly negligible."" E. F. E. Boston Transcript",Boston Transcript,81.66666666666667
5969,"broaden or sweeten it."" H. W. Boynton Nation",Nation,75.33333333333333
5971,"living intelligences, not human beings."" h N Y Times",N Y Times,77.0
5972,New Repub 13;supl4 N,New Repub,87.33333333333333
5973,Lit D 54:1856'Je,Lit D,82.66666666666667
5975,-t- Cath World,Cath World,97.0
5976,"give it the effectiveness which is its due."" h N Y Times",N Y Times,76.33333333333333
5977,Ath 1915.2:174 S,Ath,77.33333333333333
5978,"terest, but later the story becomes very tame."" H Sprlngf'd Republican",Springfield Republican,62.666666666666664
5979,N J Lib Bui,Wis Lib Bui,74.66666666666667
5980,I nil,Ind,55.666666666666664
5981,-i Cleveland,Cleveland Open Shelf,76.66666666666667
5982,-i- WIs Lib Bui,Wis Lib Bui,94.33333333333333
5983,of Ye_ysprlngf'd Republican,Springfield Republican,73.0
5984,: R of Rs,R of Rs,100.0
5985,The Times [London] Lit Sup pllO,Times [London] Lit Sup,94.0
5986,•- Boston Transcript,Boston Transcript,100.0
5987,New Repub 12:1U8 S,New Repub,89.0
5988,i The Times [London] Lit Sup,Times [London] Lit Sup,95.66666666666667
5989,"Sprlngf'd Republican pi"" N",Springfield Republican,75.33333333333333
5990,-t- Sprlngf'd Republican,Springfield Republican,80.0
5991,h N Y Call,N,72.66666666666667
5992,"elements."" Randolph Bourne (- Dial",Dial,74.66666666666667
5993,-I Ind,Ind,91.66666666666667
5994,--- Dial,Dial,100.0
5995,height^ He-ws-Repub,New Repub,63.333333333333336
5996,^ w,Pub W,55.333333333333336
5997,Springf'd Republican pll Ja,Springfield Republican,77.33333333333333
5998,"sort of mild eroticism."" H. W. Boynton Bookm",Bookm,74.0
5999,"+""Cath World",Cath World,100.0
6001,_| Dial,Dial,93.33333333333333
6002,"so crude as to be scarcely tolerable."" h No Am",No Am,73.33333333333333
6003,current.,Current Hist,83.0
6004,"been a novel of considerable power."" f- Cath World",Cath World,78.33333333333333
6005,. Dial,Dial,100.0
6006,"strikes, seems artificial and unnatural."" h Lit D",Lit D,73.33333333333333
6007,"fairly well worked out."" D: P. Berenberg h N Y Call",N,68.0
6008,"thereby become exceptional."" (- N Y Times",N Y Times,80.0
6009,Ind 91:1S8 Ag,Ind,79.33333333333333
6011,* -I New Repub,New Repub,96.66666666666667
6013,•i Dial,Dial,93.33333333333333
6014,The Times [London] Lit Sup pile Mr,Times [London] Lit Sup,92.33333333333333
6015,°n f- Bookm,Bookm,90.33333333333333
6016,-j- Bellman,Bellman,96.0
6018,Spec 117:sup609 N,Spec,79.33333333333333
6019,-} Boston Transcript,Boston Transcript,100.0
6020,"too much of the superman about It."" E: E. Hale h Dial",Dial,71.66666666666667
6021,New Fit-pub,New Repub,65.33333333333333
6022,'— Sprlngf'd Republican,Springfield Republican,82.66666666666667
6023,Ath plOl p,Ath,82.0
6024,Boston Transcript p« Jl,Boston Transcript,95.66666666666667
6025,"handled with Mrs Wharton's usual finesse."" Cleveland pllH S",S,67.66666666666667
