,occurence
when spread out over more than,1
lid,1
"not appear to be the historical novel."" h N Y Tribune",1
is remarkable how nearly she succeeds.,1
f N Y Tribune plO N S,1
"abilities as the author of 'Messer Marco Polo.' ""h Ind",1
-\ NY Tribune pS N,1
•J,1
---- N Y Tribune plO Je,1
-| Boston Transcript po My,1
-i- The Times [Londonj Lit Sup,1
"sort of mild eroticism."" H. W. Boynton Bookm",1
things from an,1
Pub W 92:8(12 S,1
•+ Pub W,1
NY Call plB S,1
Sprlngf'd Republican plS Je,1
"ROLAND, pseud. Future of militarism.",1
"T. Fisher Unwin, London",1
"complete translation of the tales."" h Sat R",1
"book is Dostoevsky's first work, 'Poor people.'",1
i- Boston Transcript pS Mr,1
"living intelligences, not human beings."" h N Y Times",1
"it Ihe,Zimes [London] Lit Sup",1
published in,1
h D'al,1
•f- Sprlngf'd Republican,1
. H NY Times,1
-J The Times [London] Lit Sup,1
-I Sprlngf'd Republican plO N,1
"than sound and sincere."" H. W. Boynton h Bookm",1
New Repub 13;supl4 N,1
•- Boston Transcript,1
"and wooden."" Donald Douglas h Int Bk R",1
Springf'd Republican pll Ja,1
cal and archeological.,1
-t- Cath World,1
"give it the effectiveness which is its due."" h N Y Times",1
Ath 1915.2:174 S,1
"terest, but later the story becomes very tame."" H Sprlngf'd Republican",1
N J Lib Bui,1
I nil,1
-i- WIs Lib Bui,1
of Ye_ysprlngf'd Republican,1
Lit D 54:1856'Je,1
: R of Rs,1
New Repub 12:1U8 S,1
i The Times [London] Lit Sup,1
"Sprlngf'd Republican pi"" N",1
-t- Sprlngf'd Republican,1
"elements."" Randolph Bourne (- Dial",1
--- Dial,1
height^ He-ws-Repub,1
^ w,1
Boston Transcript pf> O,1
N Y Tribune plfl Ja,1
irritating atmosphere of the,1
f- Int Bk R pels Ag,1
"thought nor feeling of consequence."" h N Y World",1
NY Times p'J S,1
The Times [ LondonJ Lit Sup,1
"lighted by laughter or shadowed by sorrow."" h New Statesman",1
[- Int Bk R,1
genious^. Bost(jn Transcrlpt,1
h New Statesman 26:supxxiv D,1
"Boston Transcript p.""> O",1
-j- Spec,1
Boo km 62:xlv N,1
New Repub 44:supl S,1
-+- N Y Times,1
Boston Transcript pG,1
-+- Lit R,1
Sat'R of Lit,1
"story as a storv is distinctly less."" H. I. Brock h N Y Times",1
Nation and Ath 35:sup247 My,1
---- H N Y Times,1
-j- Atlantic's Bookshelf N,1
"m""+'— The Times [London] Lit Sup",1
"kind of originality there is."" Gerald Gould (- Sat R",1
_ N Y Tribune,1
liu Bk R,1
Sprlnof'd Republican plO Ap,1
-| • Sat R of Lit,1
Thomas.,1
J (- N Y Tribune,1
dialect/' s^ R Qf L|t,1
"profitless as philosophy."" Gerald Bullett Sat R",1
Bookm 61:6H5 Ag,1
"M""+ Nation and Ath",1
e!}!ieNew statesman,1
-| No Am,1
-| . The Times [London] Lit Sup,1
"is very impressive."" N Y Times",1
The Times [Londonj Lit Sup,1
"J|_ N Y Tribune pi"") K",1
"flashes of first-rate writing."" K. C. Beckwith h Lit R",1
"court trials, and lawyer?' court tactics."" Outlook",1
n Y Times,1
Sprlngf d Republican pi'2 Jl,1
-}- Sat R of Lit,1
recm. BNew 'fiepub,1
|- Sat R,1
ut Sup,1
-f- Boston Transcript pi My,1
"Is well handled; but it is not a very good book."" N Y Times",1
midnight pictures corporation. Inc. and its,1
stern and literal if he does not chuckle with,1
bcritiiiur,1
Lit K pi Ja 'J,1
Springfd Republican pC N,1
New'Repub,1
It hus,1
-I NY Tribune pi My,1
The Times [London1 Lit Sup,1
Cleveland pllS D,1
-) ind,1
.( Sat R of Lit,1
"would enjoy picking up from time to time."" h Bookm",1
Mary Ross ^ Tribune pj D,1
"large audience."" Herschel Brickell Lit R",1
'__I Boston Transcript,1
Living Age',1
best.. ^ .^^ ^^|g^an,1
(- Lit R plO Mr,1
New Repub 41:2.13 O,1
NY Tribune pll Je,1
Brooke from the,1
Dial 79:2GO S,1
'|- N Y Times,1
people^' 0ut|Qok,1
novel.'^_ The T|mes [London] Llt Sup,1
"""^ New Statesman",1
Boston- Transcript,1
"frightening the timid reader awny."" H N Y Times",1
Lit -R,1
N Y World pGm N,1
N Y World pirn S,1
Bookm 62:21-1 O,1
VETERANS all.,1
-j NY Tribune pll Mr,1
^ Springf'd Republican,1
'iy-j Dial,1
Nation and Ath 36:4.12 D,1
|- Lit R pa D,1
N Y Tribune pi My,1
"he has unfortunately felt it necessary to be."" i- Outlook",1
-;- N Y Times,1
-| Ath 1915.2:294 O,1
N Y Time* plO Jl,1
NY Evening Post plO O,1
^Jimes f-ondon] Lit Sup,1
-I NY World plOm N,1
"and beauty, whereas Margaret's for all its",1
h- N Y Evening Post,1
ay °+ Spec,1
"and weary the patience of the reader."" h N Y Times",1
_ Sat R of Lit,1
Book* (N Y Herald Tribune) pll Je,1
Nation 125:sup652 D,1
Cleveland Open Shelf pl!9 N,1
Nation 102:3S6 Ap,1
Pittsburah Mo Bui,1
-!• Outlook,1
~'me* [L°nd°n] Lit Sup,1
"to make each sentence."" Lucy Goldthwaite N Y Evening Pot pll O",1
"succeeds in being at least good imitation."" h N Y Times",1
-I Lit R plO Mr,1
"and his young ward."" Spec",1
GEORGIAN stories.,1
", Living Age",1
"votion."" Times [London] Lit Sup",1
r N Y Evening Poit,1
NY Tlmee,1
Books (N Y Herald Tribune) pit Ja,1
"., I,"",6 ,Times [London] Lit Sup",1
"Dare"" (Book Review Digest,",1
'•• Boston Transcript,1
-h Int Bk R,1
business of going to sea; Number,1
•f N Y Tribune,1
N Y World plflm Ja,1
"idly that it is celebrated."" Edwin Muir h Fjeeman",1
-t- N Y Tribune plS F,1
I* Y Tribune pi S,1
"such to a less degree."" B. W. Osborn h N Y World",1
-) Greensboro (N.C.) Dally News,1
N'ation and Ath 35:sup258 My,1
is without hope photographically true and ar-,1
Lit 'R,1
Yale R n s 32:vlll summer,1
f Sat R of Lit,1
f Springfd Republican,1
-j- _ N Y Times,1
mann].,1
"a good picture of it all."" Sat R of Lit",1
Tlm«s [London] Lit Sup,1
"""zOOw""6* [London:i Llt SuP",1
N Y Evening Post pS Je,1
[L°ndon] Llt SuP,1
Books (N Y Herald Tribune) pig Mr,1
-\ Llvina Age,1
ablebook/' Y Tjmcg,1
B_| spec,1
Tribune),1
Bookm 65:xxvili Mr,1
"sey has ability, and makes influential friends.",1
)- Books (N Y Herald Tribune),1
Bookm 66:xxil Ja,1
-I New Statesman 30:supxiv N,1
[- Atlantic's Bookshelf D,1
N Y Evening Post plO N,1
Book« (N Y Herald Tribune),1
(• Boston Transcript,1
H<!rald Tribune>,1
Cleveland Open. Shelf,1
Sprlngf'd Republican pTf F,1
NY Evening Pott,1
Cleveland Open Shelf pl!8 N,1
:Llt R,1
-Times [London] Lit Sup,1
Nation and Ath 40:sup366 D,1
"GARRETT, WILLIAM A. Multitude.",1
Class Philol,1
H-+'_F°NmYnTlmes,1
R of Rs 76:advl2 N,1
Chem A Met Eng,1
Sprlngf'd Republican plO O,1
Atlantic'* Bookshelf S,1
Times [London] Lit Sup pSOZ Jl,1
Miss Tiverton goes out.,1
N Y Tiitnes,1
"'Miss Tiverton,' and less closely written."" h Sat R of Lit",1
Cleveland Open- Shelf,1
France).,1
"passing significance and strength."" h N Y Times",1
J Tlmea TLondon] Lit Sup,1
Hough ton,1
over lt-;'Bolton Tran8cript,1
Uit R,1
"""leH Sprlngf'd Republican",1
NY Tribune plO S,1
"In addition, he can tell",1
j Booklist,1
New Repub 38:sup7 Ap,1
Republican,1
"of careful and sympathetic observation."" h N Y Times",1
"~T TJV ,T'mes l?Lot>don] Lit Sup",1
-i The Times LLondon] Lit Sup,1
"thrills."" N Y World",1
Lit R pB D,1
N Y Times pie My,1
Springf'd 'Republican,1
-i The Times [London] Lit Sui,1
N' Y Times,1
_+ New Statesman,1
Int Bk R p8.r.8 N,1
Nation 118:sup442 Ap,1
h- Int Bk R pGl D,1
--- Sat R,1
_ Statesman,1
'h Lit R,1
Pi t ^-fii,1
h Lit' R,1
Sprlngf'd Republican pSa O,1
"cannot keep on doing It."" Gerald Gould Sat R",1
-f- Bo»ton Transcript p« S,1
'+ Christian Science Monitor pll F,1
-f- Yale R n s,1
Christian Science Monitor plfl Ap,1
Weekly Book Review pig F,1
r- Weekly Book Review,1
-V Book Week,1
-T Weekly Book Review,1
'Book Week,1
Yala R n s 33:xvl winter,1
| N Y Time*,1
I Library J,1
New Repub 38:2G6 Ap,1
Book* pi Ja,1
.)- Weekly Book Review,1
'Outlook,1
"and its people that one's Interest Is aroused."" N Y Times",1
dental to whom the manners and customs,1
"""Vsprin'gf'd Republican",1
"'"" BuoKbi",1
by Henry Fairfleld Osborn,1
Sprlngf'd Republican pSa N,1
r- N Y Tribune,1
ance. ^ Boston 'Transcript pG Ag,1
N Y Times pS Ag S,1
Book Waek,1
narrative^ R ^ ^ ^^ N,1
NY Time* plO O,1
i Horn Bk,1
-) Weekly Book Review plO Ap,1
'+ 'N Y Times,1
'-)' 'sprinsf'd Republican,1
f. Times [London] Lit Sup,1
-| Yale R n s 32:xli summer,1
G' +' J?as!t R of Lit,1
G°+?'sat R of Lit,1
N Y Timea plO My,1
Weekly Book Review pis Mr,1
", Int Bk R",1
Lit R pH S,1
-t Greensboro (N.C.) Daily News,1
"sionate loveliness."" N Y Times",1
Lit Fi,1
Book Week pfi Ag,1
-i -No Am,1
V-i- Boston Transcript,1
"Lit R i>r, O",1
J Suringf'd Republican,1
. Sprlnaf'd Republican,1
-t- N Y Tribune pll N,1
H- Boston Transcript,1
h 'Lit R pgll Je,1
it Sup,1
illiam III.,1
Ena Hl«t R,1
"the downfall of a beggar on horseback."" h Spec",1
-) NY Timet,1
N Y« Times,1
I- Int Bk R,1
and very moving scenes one when Donaldson,1
N Y World pOe D,1
the wheels of an automobile. Sat R of Lit,1
Lit R PlO N,1
--- New Statesman 22:supl8 O,1
-j .NY Times,1
N Y Worle* pSe Ag,1
£• Books (N Y Herald Tribune),1
Nation 123:sup621 D,1
"little Justice to her talents."" L. P. Hartley (- Sat R",1
^ Nation and Ath,1
-| Sat R ol Lit,1
-I NY Evening Post plO N,1
"traces of a better self revealed in it."" h Dial",1
Booklist 23:3SG Je,1
lic and became archbishop of Santa,1
Snnnaf'd Republican,1
"ly—over the region."" Allan Nevins H N Y World",1
r- Book* (N Y Herald Tribune) pi Ap,1
China (prior to,1
"that he Is not entertaining would be ridiculous."" h Sat R of Lit",1
Sprltujf'd Republican,1
on social and racial injustices is,1
-j NY World pllm Ap,1
Deutsch Bo<jk> (N y Herald Tribune),1
NY Tim«»,1
Lit R PlO My,1
New Repub 62:sup357 N,1
N Y Time* pH O,1
New Repub 52:sup363 N,1
case. (Philo Vance ser.),1
(Philo Vance ser.),1
Bookm 66:lxii D,1
Wis Lib Bui 23:2GO N,1
New Statesman 27:7-10 O,1
New Repub 50:sup352 My,1
'Books (N Y Herald Tribune) pi Ja,1
i- N Y Times plO Ap,1
•| Springf'd Republican,1
\- Sprlngrd Republican,1
Bookm 65:xxxvll Ap,1
Nation and Atn,1
pincott,1
"Ve""' Books (N Y Herald Tribune)",1
"theatrical.''^, [London] L|t Sup",1
-f- Booklist,1
I Time* [London] Lit Sup,1
Books (N Y Hearald Tribune),1
Time [London] Lit Sup,1
f- N Y World plOm Mr,1
heart-; git SRCo?IbLit,1
+PBooks (N Y Herald Tribune),1
"""l",1
and boded,1
Times [London] Lit Sup pl<0 Mr,1
enough in,1
Chem &. Met Eng,1
Sprlngf-d Republican,1
N Y Evenino Port,1
Lit R p» Ap,1
H Sat R of Lit,1
-j . Springfield Republican,1
Springfield Republican p» D,1
i- The Timei [London] Lit Sup,1
ing and daring.,1
"the novel is nearly as bad as it could be."" h Nation",1
-) Springfield Republican,1
(- Wis Lib Bull,1
—Springfield Republican pi,1
h The Times [London! Lit Sup,1
"Ath 1915,1:211 Mr",1
Springfield Republican pis O,1
Ath plS7 Ap,1
Nation 102:sup486 My,1
R of Re,1
-i Forum,1
Sat R M!!:559 N,1
Ar>n Am Acad,1
Bookm 41:40!) D,1
marize and depict business conditions in,1
-I WIs Lib Bull,1
-) Springfield Republican pin S,1
"scarcely enough romance to make it lovely."" Boston Transcript",1
Wl» Lib Bull,1
-j- Bookm 65:xxxv Ap,1
Nation and Ath 42:sup422 D,1
"""uttto' OCTAVUS R°V. Outer gate.",1
N Y Evening Po«t plO O,1
Cleveland Open Shelf pSS Jl,1
"""— New Repub",1
No Am 22S:adv Ja,1
-) Atlantic's Bookshelf N,1
"aggerate its good qualities."" Herschel Brickell h No Am 224:adv O",1
With the cry of gold the pursuit is on. N I,1
Cuppy Book* (N Y Herald Tribune),1
sat R of Lit,1
'+ Ind,1
Tlmec [London] Lit Sup plo-1 Je,1
h NY Times,1
Books (N Y Herald Tribune) pig Ja,1
N Y Evening Post plS O,1
_f. Timei [London] Lit Sup,1
back with them,1
-f- Atlantic's Bookshelf My,1
N Y World plOra Ap,1
Book! (N Y Herald Tribune) pll My,1
j Sprlngf'd Republican,1
Spring.f'd Republican,1
-T- Boston Transcript,1
Lit R pg Mr,1
at times be commonplace the situations even,1
w ™ HI?,1
'l<5t+ Sat R of Lit,1
Walter Prlchard Eaton.,1
Lit Sup,1
Cleveland Open Shelf pi IS N,1
-J Books (N Y Herald Tribune) plS N,1
N Y World pGm Jl,1
champion of England from,1
Boo km 66:xxll Ja,1
"MONO, SIR ALFRED,",1
* politics.,1
NY Evening Post plS O,1
Books (N Y Herald Tribune) pis Mr,1
i- Outlook,1
LBooks <N Y Herald Tribune),1
-j- New Repub,1
Sprlnafd Republican,1
tists),1
Aspects of the contemporary scene; No.,1
Trlbune>,1
"combatant daughter to an unhappy end."" N Y",1
m°¥ Sat^Jf'tlt,1
POWer--i: Nation *ndrAth,1
"seem commonplace. At his best, and in 'Bella'",1
"squad and weds a count.""—Books (N",1
"SYMOND, RONALD. Main chance.",1
Longmans,1
h Books (N Y Herald Tribune) plO O,1
Llvina Age,1
". ""A,s",1
Bookm 66:lli D,1
..Books (N Y Herald Tribune) plO Ja,1
Book* (N Y Herald Tribune) pig Ja,1
"ing."" Boston Transcript",1
"an Impression of discontinuity and scrapplness."" Nation and Ath",1
!• Books (N Y Herald Tribune),1
"ing the empyrean at inconvenient moments."" f- N Y Time*",1
Bookm 65:xxxvi Ap,1
Spec 138:sup661 Ap,1
standard authors),1
Bonl & Llverlght,1
"of the main theme has suffered."" h N Y Times",1
Boston Transcript pC,1
j- New Statesman,1
STimes [London] Lit Sup,1
Bookm 65:xxxv Ap,1
Books (N Y Herald Tribune) pg Je,1
Good Housekeeping,1
"-|"" Nation and Ath",1
Lit R pig O,1
_) Bookm 6G:xxiv Ja,1
l°ljL-_ Nation,1
• j • Boston Transcript,1
Bookltet,1
Sat R 143:3GO Mr,1
hteh,1
given Pansy and Mrs. Flusser,1
"his finest achievement"" C. P. Fadiman Nation",1
is very_dulir statesman,1
of the most noteworthy English books of,1
NY Evening Post pS S,1
New Statesman',1
New Repub 13:supl6 N,1
H- Ind,1
A L A Ekl HtM D,1
|- Nation,1
Pittsbugh Mo Bui,1
Times [[London] Lit Sup,1
"Tangye."" Times [London] Lit Sup",1
N Y World pSm D,1
"almost nothing."" L. P. Hartley h Sat R",1
"'""f! Lit R",1
vests her characters at times with an,1
Lit R pi My,1
Books (N V Herald Tribune),1
"t,,8?0*8 <N Y Herald Tribune)",1
"Janet, the book would be considerably better."" N Y Times",1
and he tells us about himself with a ruthless,1
"easily have become a caricature."" h N Y Times",1
h Bo«ton Transcript pi My,1
Christian Century 56:3S7 Mr,1
] Boston Transcript,1
Books jilii Ap,1
•+- Boston Transcript p« Jl,1
"liant fellow with a 'yellow streak.' ""h Bookm",1
"Ath 1915,1:2115 Mr",1
tral Asia.,1
R'of Rs,1
Ath 1915.2:294 O,1
-f- Wis Lib Bull,1
"Ath 1915,2:247 O",1
duct.,1
Boston Transcript p!i My,1
blemishes relatively small that we have men-,1
-f- Boston Transcript pi Mr,1
Springfield Republican plS Ag,1
was born in,1
~+ Boston Transcript,1
why.,1
-r Boston Transcript pS S,1
-| . Dial,1
The Times [London] .Lit Sup,1
Cath World 104:3!)4 D,1
"Ath 19ir,,2:243 O",1
OutlooK,1
& Livcright,1
"Springfield Republican pir, Ja",1
requisite,1
SHORT stories from Life.,1
Dial fil:.r.S6 D,1
Springfield Republican plo N,1
Spec 114:Sr>4 Je,1
-| • Springfield Republican,1
Boston Transcript jiS D,1
Lit D B2:14B3 My,1
New Repub 9:suplO N,1
Springf'd Republican plS My,1
(- Lit D,1
"Sat R 122:39."". O",1
J Bookm,1
f- Lit D,1
R of Rs 5:!:378 Mr,1
^ A L A Bkl,1
\- Ind,1
"The Times [London] Lit Sup p«P,8 D",1
N Y Call plo Ja,1
"Ath 1915,2:208 S",1
Ath pl!)5 Ap,1
Springfield Republican plS D,1
•+ Bookm,1
Bookm 44:2fi2 N,1
Elec World,1
A L A Bkl 12:4SO Jl,1
Pub W 89:1S9 Ja,1
N Y Times 21:r>tiO D,1
Springfield Republican plo Mr,1
-:- Springfield Republican,1
Pub W »U:14U4 O,1
-h Sat R,1
-\ Springfield Republican,1
"-| Boston Transcript p"" Je",1
-f-.— N Y Times,1
A L A Bkl 13:1S1 Ja,1
"consumers and small producers."" f- Ath",1
Springfield Republican pl.1 O,1
T Th? Times [London] Lit Sup,1
-) A L A Bkl,1
Bookm 1I:1S1 U,1
Boston Transcript pti N,1
Ath 1915.2:330 N,1
Sat R 122:sup6 O,1
rea+ NY Times,1
--- ALA Bkl,1
^-'Bos^n Transcript,1
Its Prblm8-' Republican plTAp,1
No Am 204:9:;8 D,1
Springfield Republican pis My,1
Springfield Republican pla N,1
Nation 103:37r> O,1
-I • R of Rs,1
Sprlngf'd Republican plo S,1
Springfield Republican plo Ja,1
Cath World 10-1:124 O,1
Ind S3:3'J4 Mr,1
paradise.,1
-{ Springfield Republican,1
"Ath 1915,1:190 F",1
•_ Nation,1
"h i""he Times [London] Lit Sup",1
1-Springfield Republican,1
"Ath 1915,2:481 D",1
Atlan 118:r»02 O,1
N Y Times 21:48-1 N,1
Wia Lib Bull,1
-) NY Times plS.My,1
"on the business."" New Statesman",1
Nation 11)3:203 Ag,1
"Ath 1915,2:293 O",1
-| Lit D,1
it with an autocratic hand from,1
Pittsburgh 21:.')69 D,1
The Times [London] Lit Sup pjoO N,1
"N Y Times 2l:f,6 F",1
• WIs Lib Bull,1
Boston Trarftcript pS Je,1
r Springfield Republican,1
Bib World,1
-| pub W,1
: Cleveland,1
'- Springfield Republican,1
•— Lit D,1
-f-' Springfield Republican,1
Ath piOS,1
and goes out to conquer the world. Book,1
Bookm 43::!24 My,1
Nation 102:3f>j Mr,1
Springfield Republican plO Je,1
"A, L A Bkl",1
Boston Transcript pP Ag,1
J- Dial,1
Spritigfd Republican,1
Bookm 76:vii Je,1
Times [London] Lit Sup pSIO N,1
NY Tlnrws,1
"the reader's own particular taste in humor."" (- N Y Times",1
"be with reverence."" H. C. Harwood (- Sat R",1
"the observations upon which it is based."" h N Y Times",1
NY Times pi S,1
Books pi AE,1
Sprlngf'd Republican p~e Ja,1
Nation 13.5:151 Ag,1
Bookm 75:2U7 My,1
] New Statesman and Nation,1
of them.TimM [London] Lit Sup,1
.) Times [London] Lit Sup,1
Yale R n s 22:viii autumn,1
Lit D'p65 N,1
"~,T.»? ,?•""?« [London] Lit Sup",1
NY Times pO Ap,1
Nation lu2:7t>8 Jc,1
Lit D 53:1341-N,1
•i New Statesman,1
_ Nation and Ath,1
"Outlook 132:l.r,8 S",1
nature.,1
things^ N ^ ^^^,1
-I NY Tribune plO N,1
j- Springf'd Republican,1
"""+ '— N Y Times",1
h Lit R pl!2 O,1
Springf'd Republican plSa Ap,1
NY Tribune pS O,1
Nation 115:sup626 D,1
but perhaps quite pardonably silly. Mean-,1
: Atlantic's Bookshelf D,1
NY Tribune pO O,1
"Boston Transcript pi My lu ""L'i",1
-I • Lit R,1
"mark of Cosmopolitan Magazine standards."" h N Y Times",1
listory of the last,1
in something like,1
Ind 109:38!) D,1
"'"" R' +IONrrY Times",1
N Y Times 21:-I49 O,1
Cleveland plC2 D,1
—' Bookm,1
r(- Boston Transcript,1
Army and Navy Journal,1
N Y Call plo D,1
-~ Boston Transcript,1
-| R of Rs,1
-t- Bookm,1
Atlan 11S:«9 O,1
Boston Transcript p!* Mr,1
Dial 61:5.S8 D,1
Ind SS:467 D,1
-i Wli Lib Bull,1
Ind 8S::.ol D,1
h The Time* [London] Lit Sup,1
"Ath 1915,1:68 Ja",1
6-ry— Bookm,1
-) Wis Lib Bull,1
'+'—'Boston Transcript,1
"Boston Transcript p.""> My",1
-t Dial,1
j- Boston Transcript pS F,1
+. The Times [London] Lit Sup,1
-| WIs Lib Bull,1
•I Spiingf'd Republican,1
Int Bk R pGO Ja,1
"N Y ""Tribune plO N",1
Boston Transcript )>! My,1
Cleveland pal Ag,1
-t- Dial,1
"""In the main the book is a success and to it",1
•I Lit R,1
Sprincjfcl Republican,1
Survey 49:sup2!)l N,1
"cramps her style by the effulgence of his own."" r- N Y Times",1
", Sprlngf'd Republican",1
"agraphs. ^ ^ T,me,",1
New Statesman 20:supxiv D,1
Spec 129:sup660 N,1
Pittsburgh Mo But,1
Spi-incjf'd Republican,1
Monmouth in,1
-I NY T'ime.s pi,1
Cleveland pDl D,1
Sprinyfd Republican,1
Bookm r>r>:202 Ap,1
)- New Statesman,1
Sprinqfd Republican,1
"much of a muchness."" A. D. Douglas h N Y Tribune",1
MM ft P'^fatory essay.,1
h Lit -R,1
"den the heart with mysterious beauty."" r Lit R",1
Springf'd Republican pS Ag,1
Dial 7.'i:6Sl D,1
-i Greensboro (N.C.) Dally News,1
"= portrait-painter, and other sonnets.",1
Booklist 1I):8G D,1
of a news-room.,1
.»oTB?«Tlmes [London] Lit Sup,1
+_ Boston Transcript,1
'h N Y Tribune,1
The Times fLondon] Lit Sup,1
Cleveland pSl Ag,1
NY Times plG Ap,1
"'""""""+ Boston Transcript",1
"but utterly deprives it of any verisimilitude."" h Outlook",1
(- Freeman,1
The Times [London] Lit Sup pill Je,1
NY Tribune po Jl,1
-| NY Times sec7:6 O,1
N Y Tribune pC S,1
Survey 49:supll)2 N,1
'-f New Repub,1
Spec 129:supC64 N,1
Atlantic's Bookthelf F,1
-I NY Tribune pS O,1
"ments of tenderness and insight."" Sat R",1
of the year,1
h Nation Uf):sup388 O,1
; Boiton Transcript pi Je,1
:- Springf'd Republican,1
Dial 7:i:infi O,1
Wis Lib Bui 1<S:255 X,1
"reading the book."" H. W. Boynton Lit R",1
Boston Transcript pfi Ap,1
Sprinafd Republican,1
h Boston Transcript pi Ja,1
Survey 49:sup210 N,1
NY Tribune pG S,1
Outlook 132:')33 N,1
N Y World pll S I*''22,1
"the aesthetic problem as well."" Gilbert Seldes h Dial",1
-|_ J_ The Times [London] Lit Sup,1
I Lit D,1
-r- Greensboro (N.C.) Dally News,1
"of this writer seems undefined."" P.. C. h New Repub",1
"daughter of one of his sitters."" Cleveland",1
Boston Transcript pfi My,1
it Is not two or three years ago. and,1
-{ Lit R,1
Detroit Newi pll Ag,1
•i 'NY Times,1
. -•-• Boston Transcript,1
Booklist lfl:23 O,1
Sprlngfd Republican plO Jl,1
f Detroit News,1
N Y Tribune p-t Jl,1
Bookm 56:iS9 D,1
Greensboro (N.C.) Daily News pfi D,1
Greensboro (N.C.) Daily News pi,1
"tions, inhibitions and illegalities.",1
feminine years from,1
"tind farmer folk."" Sidney Howard h Bookm",1
", Sat R",1
Greensboro (N.C.) Dally News plO N,1
f Pub W,1
h New Repub 9:sup9 N,1
Dial 61:5S8 D,1
h Atlan,1
"Spec 146:10?"" Je",1
NY Times plG My,1
NY World pll Je,1
h N Y Tribune plO N,1
'Cleveland,1
Pittsburgh Mo Bui 27:f>33 D,1
-) NY Times pll Mr,1
i Sprlngfd Republican,1
-t- Bookni,1
;- Springf'd Republican,1
SUPer+y'NatfrnIii4:349 Mr,1
lng' N Y Times pll Mr,1
h lot Bk R pGO F,1
N Y Tribune pG S,1
"prottcn too much."" G: Stevens Lit R",1
•I- The Times [London] Lit Sup,1
lnd'lOD:311 N,1
Ind SS:399 D,1
f- Springfield Republican plo S,1
NY Tribune pn Jl,1
Springfield Republican pla S,1
R of Rs 53:I!7S Mr,1
Nation 103:4SS N,1
Springfield Republican plO Je 30»')6,1
"HARRIS, FRANK. Love In youth.",1
Boston Transcript p'J S,1
"'"" H NY Times",1
Cath World 104:51)0 Ja,1
Lit D 53:103!) (),1
-t- Springfield Republican,1
"WIs Lib Bull 12:45.', D",1
Nation lUJ:28t Mr,1
-I Wis Lib Bull,1
"Nation 102:."")20 My",1
"portant actions."" Wilson Follett h Allan",1
-t- Lit D,1
• Springfield Republican pi? Ap,1
'' ' '+ Wl« Lib Bull,1
Engln N 7ti:310 Ag,1
-I Springfield Republican,1
WIs Lib Bui 18:25-1 N,1
during the early part of the,1
-f- N Y Times plO O,1
-J- Lit R,1
• Sprlngfd Republican,1
Booklist 1!I:115 Ja,1
Nation 114:72-1 Je,1
Lit R pSIO Jl,1
Sa>_ Boston Transcript,1
N Y Times plR My,1
"""V'-j Ind",1
",. Spec",1
Cleveland pSo N,1
_| NY Tribune pa Jl,1
Nation 113:2.r>S S,1
-t- Greensboro (N.C.) Daily News,1
.in> interest. . . His art so flrmlv and,1
• Spring-Td Republican,1
public opinion refuses to turn it into,1
Lit R'pl85 N,1
•f. Lit R,1
—The Times [London] Lit Sup D,1
SprlngrTa Republican,1
"best, reason for his success."" Gerald Gould (- Sat R",1
• i Lit D,1
"trade rivalry exposed."" Springfd Republican",1
_| Springf'd Republican,1
ec_ N Y Times,1
e+VSpr!naf'd' Republican,1
N Y Times pa N,1
Paters^ y T(.|bune,1
"T,^e7T0imes LLondon] Lit Sup",1
•j Outlook,1
Int Bk R pll D,1
Wis Lib Bui 18:13-1 My,1
"ventionally sketched; which is no small merit."" h Lit R",1
Outlook l:i3:18fi Ja,1
"of one character, Into a novel of action ""f- Nation and Ath",1
"gifts on a less bloodless subject."" j- Spec",1
Sprinfjf'd Republican,1
"sentimental, coarse, and pretentious book a",1
-| • Sat R,1
-r N Y Tribune po Ag,1
"be. That it is well written needs no emphasis."" h Spec",1
Nation 115:sup624 D,1
New Repub 33:supl8 N,1
Am Mercury 25:xiv Ap,1
-h Spec,1
N Y Times sec7:fi O,1
Dial 73:BS1 D,1
Sat R 133:20!! V,1
per.,1
"herent incongruity of his theme."" Lit R",1
t- N Y Tribune pC S,1
-j |_lt R,1
Booklist 1!l:R.r> n,1
Springfd Republican plSa Ap,1
"which it describes so well."" h Lit R",1
-f- The Times [London] Lit Sup pll Ja,1
Freeman G:2.'i8 N,1
•i- Boston Transcript pi Ag,1
Lit R pSO-t Mr,1
__ h N Y Times,1
The Times [London]Lit Sup,1
Sat R 133:6fiO Je,1
-t Freeman,1
f Sprlngf'd Republican,1
Lit R plll3 O,1
t Outlook,1
Pr°Sprin'grd Republican,1
seen eating their dinners sedately within a,1
Spririflf'd Republican pTa Jl,1
"The Times [London] Lit Sup p."",0fl Ag",1
Booklist Iv'iC.-i Jl,1
•i Am Mercury 26:xxvl F,1
Bookm 75:niS S,1
Dial 73:5X0 N,1
Freeman fi:310 D,1
welcome among the English reading public,1
j- Spec,1
SprJngf'd Republican,1
"-roT,he en'*"""" [London] Llt Sup",1
-(-NY Tribune,1
: Sprlngfd Republican,1
"to give them a sort of life."" Floyd Dell h Bookm",1
Sprlngf'd Republican plBa My,1
"• class, trade and technical publications.",1
Lit R ploS O,1
Pittsburgh Mo Bui 27:1(11 N,1
"Nation M ,. in: O",1
"vacancy of the early chapters."" f- Sat R",1
• h Spec,1
