volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"clark, walter van tilburg","clark, walter van tilburg.",98,"track of the cat, a novel.","the track of the cat, a novel.",track of the cat.,track of the cat.,94,94,1949.0,1949,mdp.39015031223657,107
"locke, william john","locke, william john.",97,"far-away stories,","far-away stories, by william j. locke ...",far-away stories.,far-away stories.,94,94,1919.0,1919,nyp.33433074879622,217
"prior, l. f. loveday (lilian faith loveday)",prior. lilian faith loveday.,76,"valley of exile,","the valley of exile, by l.f. loveday prior.",valley of exile.,the valley of exile.,94,94,1940.0,1940,uc1.$b299107,1820
"clewes, winston","clewes, winston.",97,"violent friends, a novel by","the violent friends, a novel by winston clewes.",violent friends.,violent friends.,94,94,1945.0,1945,uc1.$b236294,1419
"pertwee, roland","pertwee, roland.",97,gentlemen march ..,gentlemen march ...,gentlemen march.,gentlemen march.,94,94,1927.0,1927,mdp.39015063946316,24
"poole, ernest","poole, ernest.",96,with easte,"with eastern eyes, by ernest poole.",with eastern eyes.,with eastern eyes.,94,94,1926.0,1926,uc1.$b243872,1178
"phillpotts, eden","phillpotts, eden.",97,"george westover,","george westover, by eden phillpotts.",george westover.,george westover.,94,94,1926.0,1926,uc1.$b684662,2352
"linklater, eric","linklater, eric.",97,juan in america a no,juan in america a novel by eric linklater.,juan in america.,juan in america.,94,94,1931.0,1931,mdp.39015005580298,4943
"pedler, margaret (bass) mrs","pedler, margaret (bass) (mrs w. g. q. pedler).",74,"barbarian lover, by m","the barbarian lover, by margaret pedler.",barbarian lover.,barbarian lover.,94,94,1925.0,1924,mdp.39015058650014,3555
"la farge, oliver","la farge, oliver.",97,sparks fly ,"sparks fly upward, a novel.",sparks fly upward.,sparks fly upward.,94,94,1931.0,1931,mdp.39015030700168,2726
"linklater, eric","linklater, eric.",97,"juan in america, by ","juan in america, by eric linklater.",juan in america.,juan in america.,94,94,1931.0,1931,uc1.b3209743,4943
"powys, llewelyn",powys. llewelyn.,90,"ebony and ivory,","ebony and ivory,",ebony and ivory:,ebony and ivory: with a preface by theodore dreiser.,94,94,1923.0,1923,mdp.39015063734431,776
"phillpotts, eden","phillpotts, eden.",97,"children of men,","children of men, by eden phillpotts.",children of men.,children of men.,94,94,1923.0,1923,mdp.39015063936036,13
"luther, mark lee","luther, mark lee.",97,"it's what you are,","it's what you are, by mark lee luther.",it's what you are.,it's what you are.,94,94,1931.0,1931,uc1.$b301207,5949
"leader, pauline","leader, pauline.",97,and no birds sing ,and no birds sing by pauline leader.,and no birds sing.,and no birds sing.,94,94,1931.0,1931,uc1.b3710765,3799
"lawrence, d. h. (david herbert)","lawrence, david herbert.",84,etruscan pl,"etruscan places, by d. h. lawrence.",etruscan places.,etruscan places.,94,94,1930.0,1932,miun.abv7971.0001.001,5702
"parrish, randall","parrish, randall.",97,case and the gir,the case and the girl by randall parrish.,case and the girl.,case and the girl.,94,94,1922.0,1922,nyp.33433076060403,2552
"lumpkin, grace","lumpkin, grace.",97,to make ,to make my bread by grace lumpkin.,to make my bread.,to make my bread.,94,94,1932.0,1932,uc1.$b244737,2538
"lindsay, norman","lindsay, norman.",97,cautious amori,the cautious amorist by norman lindsay ; illustrated by the author.,cautious amorist.,cautious amorist.,94,94,1932.0,1932,mdp.39015005572170,1459
"paris, john","paris, john, pseud.",73,kimono,kimono,kimono,kimono.,94,100,1922.0,1922,uc2.ark+=13960=t86h4gn96,2292
"pedler, margaret bass","pedler, margaret.",84,moon out of re,"the moon out of reach,",moon out of reach.,moon out of reach.,94,94,1921.0,1922,uva.x002008657,2941
"punshon, e. r. (ernest robertson)","punshon, ernest robertson.",85,old fighting d,"old fighting days, by e.r. punshon.",old fighting days.,old fighting days.,94,94,1921.0,1921,nyp.33433075872998,1520
"perry, montanye","perry, montanye.",97,"blossomy cottage,","blossomy cottage, by montanye perry.",blossomy cottage.,blossomy cottage.,94,94,1921.0,1916,nyp.33433075766323,1053
"leader, pauline","leader, pauline.",97,"and no birds sing,","and no birds sing, the autobiography of pauline leader.",and no birds sing.,and no birds sing.,94,94,1932.0,1931,uc1.$b115123,3799
"peake, c. m. a","peake, c. m. a.",97,eli of the downs ,eli of the downs by c.m.a. peake.,eli of the downs.,eli of the downs.,94,94,1920.0,1920,nyp.33433075749873,2258
"lawrence, josephine","lawrence, josephine.",97,"years are so long, a","years are so long, a novel, by josephine lawrence.",years are so long.,years are so long.,94,94,1934.0,1934,mdp.39015027931115,2129
"linklater, eric","linklater, eric.",97,"magnus merriman, a n","magnus merriman, a novel.",magnus merriman.,magnus merriman.,94,94,1934.0,1934,mdp.39015048881158,151
"larsson, gösta","larsson, gosta.",90,"our daily bread, a ","our daily bread, a novel.",our daily bread.,our daily bread.,94,94,1934.0,1934,uc1.$b106111,4156
"linklater, eric","linklater, eric.",97,"magnus merriman, by ","magnus merriman, by eric linklater.",magnus merriman.,magnus merriman.,94,94,1934.0,1934,uc1.$b795542,151
"lingo, ada e","lingo, ada e.",96,"murder in texas,","murder in texas, by ada e. lingo.",murder in texas.,murder in texas.,94,94,1935.0,1935,mdp.39015063940244,2713
"lincoln, natalie sumner","lincoln, natalie sumner.",98,"marked ""cancelled""","marked ""cancelled"", by natalie sumner lincoln.",marked cancelled.,marked cancelled.,94,94,1930.0,1930,mdp.39015063923984,239
"priestley, j. b. (john boynton)","priestley, john boynton.",84,"adam in moonshine,","adam in moonshine,",adam in moonshine.,adam in moonshine.,94,94,1927.0,1927,mdp.39015002710906,1222
"patterson, vernon","patterson, vernon.",97,"wise as a goose, a novel of ","wise as a goose, a novel of the california redwood country.",wise as a goose.,wise as a goose.,94,94,1939.0,1939,uc1.$b802262,3036
"locke, william john","locke, william john.",97,town of tombarel ,the town of tombarel [by] william j. locke.,town of tombarel.,town of tombarel.,94,94,1930.0,1930,mdp.39015059372055,4230
"page, elizabeth","page, elizabeth.",97,tree of liber,"the tree of liberty, by elizabeth page.",tree of liberty.,the tree of liberty.,94,94,1939.0,1939,uc1.$b57138,2040
"pinkerton, kathrene sutherland (gedney)","pinkerton, kathrene sutherland (gedney) (mrs r. e. pinkerton).",77,"wilderness wife,","wilderness wife, by kathrene pinkerton.",wilderness wife.,wilderness wife.,94,94,1939.0,1939,mdp.39015066420426,2733
"pound, arthur","pound, arthur.",96,"hawk of detroit,","hawk of detroit, a novel by arthur pound.",hawk of detroit.,hawk of detroit.,94,94,1939.0,1939,mdp.39015012321389,4669
"lowis, c. c. (cecil champain)","lowis, cecil champain.",82,"four blind mice, b","four blind mice, by cecil champain lowis.",four blind mice.,four blind mice.,94,94,1920.0,1920,nyp.33433074877477,141
"pritchett, v. s. (victor sawdon)","pritchett, victor sawdon.",84,dead man leading;,dead man leading;,dead man leading.,dead man leading.,94,94,1937.0,1937,mdp.39015000606601,5296
"pocock, guy noel","pocock, guy noel.",97,"stubbs at fifty,","stubbs at fifty, by guy pocock.",stubbs at fifty.,stubbs at fifty.,94,94,1937.0,1937,mdp.39015063936226,4852
"partridge, bellamy","partridge, bellamy.",97,"horse and buggy, ","horse and buggy, by bellamy partridge.",horse and buggy.,horse and buggy.,94,94,1937.0,1937,mdp.39015059406523,3377
"leblanc, maurice","leblanc, maurice.",97,secret of sarek by maur,the secret of sarek by maurice leblanc ; translated by alexander teixeira de mattos.,secret of sarek.,secret of sarek.,94,94,1920.0,1920,nyp.33433075799910,1798
"leadbitter, eric","leadbitter, eric.",97,"road to nowhere,","the road to nowhere, by eric leadbitter ...",road to nowhere.,road to nowhere.,94,94,1921.0,1921,nyp.33433074877865,2386
"plummer, francis","plummer, francis.",97,to each a penny ,to each a penny by francis plummer.,to each a penny.,to each a penny.,94,94,1934.0,1934,uc1.$b56163,1878
"lucas, e. v. (edward verrall)","lucas, edward verrall.",82,"genevra's money, by e. v. luca","genevra's money, by e. v. lucas.",genevra's money.,genevra's money.,94,94,1922.0,1923,mdp.39015031241543,3419
"lombardi, cynthia","lombard), mrs cynthia.",82,"at sight of gold, by cy","at sight of gold, by cynthia lombardi ...",at sight of gold.,at sight of gold.,94,94,1922.0,1922,nyp.33433076076169,1933
"parmenter, christine (whiting), mrs","parmenter, christine (whiting) (mrs k. r. parmenter).",77,wind blows ,"the wind blows west, by christine whiting parmenter.",wind blows west.,wind blows west.,94,94,1934.0,1934,mdp.39015063945664,3674
"phillpotts, eden","phillpotts, eden.",97,oldest inhabitan,"the oldest inhabitant, a comedy,",oldest inhabitant.,oldest inhabitant.,94,94,1934.0,1934,mdp.39015063947223,4728
"lauriston, victor","lauriston, victor.",97,"twenty-first burr,","the twenty-first burr, by victor lauriston.",twenty-first burr.,twenty-first burr.,94,94,1922.0,1922,nyp.33433074873369,581
"pound, arthur","pound, arthur.",96,once a wildernes,"once a wilderness, a novel by arthur pound.",once a wilderness.,once a wilderness.,94,94,1934.0,1934,uc1.$b56165,5430
"lascelles, ernita","lascelles, ernita.",97,sacrificial goat ,the sacrificial goat by ernita lascelles.,sacrificial goat.,sacrificial goat.,94,94,1923.0,1923,njp.32101063607137,1777
"phillpotts, eden","phillpotts, eden.",97,bred in the bone,"bred in the bone, by eden phillpotts.",bred in the bone.,bred in the bone.,94,94,1933.0,1933,mdp.39015063935970,3314
"pound, arthur","pound, arthur.",96,around the corne,"around the corner, by arthur pound.",around the corner.,around the corner.,94,94,1933.0,1933,mdp.39015059447766,4190
"phillpotts, eden",phillpotts. eden.,91,"captain's curio,","the captain's curio, by eden phillpotts.",captain's curio.,captain's curio.,94,94,1933.0,1933,mdp.39015059406481,3360
"plum, mary","plum, mary.",95,"dead man's secret, by","dead man's secret, by mary plum.",dead man's secret.,dead man's secret.,94,94,1931.0,1931,mdp.39015063936192,599
"paterson, isabel","pat epson, mrs isabel.",79,"road of the gods, by","the road of the gods, by isabel paterson.",road of the gods.,road of the gods.,94,94,1930.0,1930,uc1.$b243888,1261
"leroux, gaston","leroux, gaston.",97,octopus of par,the octopus of paris.,octopus of paris ,octopus of paris (eng title sleuth hound).,94,94,1927.0,1927,mdp.39015033408587,1119
"paul, elliot","paul, elliot harold.",75,low run tide a,low run tide and lava rook [by] elliot paul.,low run tideand lava rock.,low run tideand lava rock.,94,92,1929.0,1929,uc1.$b244080,2560
"priestley, j. b. (john boynton)","priestley, john boynton.",84,good companions by j.b. priest,the good companions by j.b. priestley.,good companions.,good companions.,94,94,1929.0,1929,mdp.39015002712308,4414
"case, josephine young","case, mrs josephine (young).",86,written in sand ,written in sand by josephine young case.,written in sand.,written in sand.,94,94,1945.0,1945,uc1.$b299783,3819
"eliot, elizabeth","eliot, elizabeth.",97,alice.,alice.,alice.,alice.,94,100,1950.0,1950,uc1.$b56523,2661
"faulkner, william","faulkner, william.",97,light in august in,light in august introduced and arranged by joseph blotner.,light in august.,light in august.,94,94,1962.0,1932,mdp.39015014616877,2736
"cournos, john","cournos, john.",96,wandering women,wandering women ; [the samovar] john cournos.,wandering women.,wandering women.,94,94,1930.0,1930,uc1.$b236116,3966
"coleman, emily holmes","coleman, mrs emily (holmes).",86,shutter of snow ,the shutter of snow by emily holmes coleman.,shutter of snow.,shutter of snow.,94,94,1930.0,1930,mdp.39015038585975,2671
"callaghan, morley","callaghan, morley.",97,"it's never over, b","it's never over, by morley callaghan.",it's never over.,it's never over.,94,94,1930.0,1930,uc1.$b323532,5091
"fisher, vardis","fisher, vardis.",97,city of illusio,city of illusion; a novel.,city of illusion.,city of illusion.,94,94,1941.0,1941,mdp.39015004764422,4338
"frank, waldo david","frank, waldo david.",97,summer ne,"summer never ends, a modern love story [by] waldo frank.",summer never ends.,summer never ends.,94,94,1941.0,1941,mdp.39015003684811,2570
"campbell, alice","campbell, mrs alice ormond.",71,murder in paris by,murder in paris by alice campbell .,murder in paris.,murder in paris.,94,94,1930.0,1930,osu.32435053555983,5340
"chamberlain, george agnew","chamberlain, george agnew.",98,river to the ,river to the sea george agnew chamberlain.,river to the sea.,river to the sea.,94,94,1930.0,1931,osu.32435053584702,5669
"corbett, elizabeth frances","corbett, elizabeth f.",85,young mrs. meig,"the young mrs. meigs, by elizabeth corbett.",young mrs meigs.,young mrs meigs.,94,94,1931.0,1931,mdp.39015059447634,2542
"cronin, a. j. (archibald joseph)","cronin, archibald joseph.",84,hatter's castle b,hatter's castle by a. j. cronin.,hatter's castle.,hatter's castle.,94,94,1931.0,1931,miun.abs4016.0001.001,3490
"coppard, a. e. (alfred edgar)","coppard, alfred edgar.",82,nixey's harlequi,"nixey's harlequin, tales by a. e. coppard.",nixey's harlequin.,nixey's harlequin.,94,94,1931.0,1931,mdp.39015030734332,2512
"carossa, hans","carossa, hans.",96,boyhood and yout,boyhood and youth.,boyhood and youth;,boyhood and youth; tr.,94,94,1931.0,1932,uc1.b4088986,4572
"fisher, dorothy canfield","fisher, mrs dorothea frances (can- field).",70,seasoned timber [by] dorothy c,seasoned timber [by] dorothy canfield.,seasoned timber.,seasoned timber.,94,94,1939.0,1939,uc1.b3687785,4020
"cullen, countee","cullen, countee.",97,"one way to heaven,","one way to heaven, by countee cullen.",one way to heaven.,one way to heaven.,94,94,1932.0,1932,mdp.39015004128289,2517
"footner, hulbert","footner, hulbert.",97,"more than bread, ","more than bread, by hulbert footner.",more than bread.,more than bread.,94,94,1938.0,1938,uc1.$b56579,4523
"forester, c. s. (cecil scott)","forester, cecil scott.",82,"ship of the line, by c. s. for","ship of the line, by c. s. forester.",ship of the line.,ship of the line.,94,94,1938.0,1938,uc1.b4082145,4718
"ferber, edna","ferber, edna.",96,nobody's in town.,nobody's in town.,nobody's in town ,"nobody's in town [and, trees die at the top].",94,94,1938.0,1938,mdp.39015002725466,3736
"flaherty, robert joseph","flaherty, robert joseph.",98,captain's ch,"the captain's chair, a story of the north, by robert flaherty.",captain's chair.,the captain's chair.,94,94,1938.0,1938,mdp.39015003343384,5265
"frankau, gilbert","frankau, gilbert.",97,dangerous years,"the dangerous years, a trilogy by gilbert frankau.",dangerous years.,the dangerous years.,94,94,1938.0,1938,mdp.39015063917002,4992
"frankau, gilbert","frankau, gilbert.",97,dangerous years,"the dangerous years; a trilogy, gilbert frankau.",dangerous years.,the dangerous years.,94,94,1937.0,1938,uc1.$b794739,4992
"clarke, austin","clarke, austin.",97,"bright temptation,","the bright temptation,",bright temptation;,bright temptation; a romance.,94,94,1932.0,1932,uc1.b3810928,3646
"caldwell, erskine","caldwell, erskine.",97,we are the living br,we are the living brief stories by erskine caldwell.,we are the living.,we are the living.,94,94,1933.0,1933,mdp.39015031222931,43
"frank, bruno","frank, bruno.",96,lost heritage; translated by c,lost heritage; translated by cyrus brooks.,lost heritage; tr.,lost heritage; tr.,94,94,1937.0,1937,uc1.$b74566,4309
"chambers, robert w. (robert william)","chambers, robert william.",79,young man's girl,"the young man's girl, by robert w. chambers.",young man's girl.,young man's girl.,94,94,1933.0,1934,mdp.39015063918703,2431
"frankau, gilbert","frankau, gilbert.",97,farewell romanc,farewell romancea novel by gilbert frankau.,farewell romance.,farewell romance.,94,94,1936.0,1936,wu.89099801888,5568
"ferber, edna","ferber, edna.",96,mother knows best.,mother knows best.,mother knows beat.,mother knows beat.,94,94,1936.0,1927,mdp.39015002725458,5151
"fabricius, johan","fabricius, johan wiqmore.",78,son of marietta /,the son of marietta /,son of marietta; ,the son of marietta; tr.,94,94,1936.0,1936,mdp.39015030059342,5675
"clark, judith","clark, judith.",96,arrows of desire ,arrows of desire [by] judith clark.,arrows of desire.,arrows of desire.,94,94,1930.0,1930,mdp.39015030091121,1541
"fast, howard","fast, howard melvin.",75,citizen tom paine [,citizen tom paine [by] howard fast.,citizen tom paine.,citizen tom paine.,94,94,1943.0,1943,mdp.39015054021426,4114
"cronin, a. j. (archibald joseph)","cronin, archibald joseph.",84,"stars look down, ","the stars look down, by a. j. cronin.",stars look down.,stars look down.,94,94,1935.0,1935,mdp.39015005351849,3534
"carr, john dickson","carr, john dickson.",97,it walks by,"it walks by night, by john dickson carr.",it walks by night.,it walks by night.,94,94,1930.0,1930,mdp.39015041861686,6021
"cram, mildred","cram, mildred.",96,stran,stranger things by mildred cram ...,stranger things.,stranger things.,94,94,1923.0,1923,njp.32101063606535,3597
"faulkner, william","faulkner, william.",97,knight's gambit si,knight's gambit six stories by william faulkner.,knight's gambit.,knight's gambit.,94,94,1951.0,1949,mdp.39015003344671,4636
"fergusson, harvey","fergusson, harvey.",97,"grant of kingdom,","grant of kingdom, a novel.",grant of kingdom.,grant of kingdom.,94,94,1950.0,1950,uc1.b3687772,4843
"faulkner, william","faulkner, william.",97,collected stories ,collected stories of william faulkner william faulkner.,collected stories.,collected stories.,94,94,1950.0,1950,mdp.39015049502233,4336
"cobb, irvin s. (irvin shrewsbury)","cobb, irvin shrewsbury.",79,"alias ben alibi, by irvin s. c","alias ben alibi, by irvin s. cobb.",alias ben alibi.,alias ben alibi.,94,94,1925.0,1925,mdp.39015031221834,934
"fletcher, inglis","fletcher, mrs inglis (clark).",71,bennet's welcome.,bennet's welcome.,bennett's welcome,bennett's welcome.,94,94,1950.0,1950,mdp.39015003676213,1125
"faulkner, william","faulkner, william.",97,light in august by,light in august by william faulkner ; introduction by richard rovere.,light in august.,light in august.,94,94,1950.0,1932,mdp.39015047734325,2736
"faulkner, william","faulkner, william.",97,collected stories ,collected stories william faulkner.,collected stories.,collected stories.,94,94,1950.0,1950,mdp.39015000689193,4336
"foster, michael","foster, michael.",97,dusty godmother;,the dusty godmother; a novel.,dusty godmother.,dusty godmother.,94,94,1949.0,1949,uc1.$b100774,4972
"coppard, a. e. (alfred edgar)","coppard, alfred edgar.",82,field of mustard,the field of mustard; tales.,field of mustard.,field of mustard.,94,94,1926.0,1927,mdp.39015030734324,216
"faulkner, william","faulkner, william.",97,knight's gambit wi,knight's gambit william faulkner.,knight's gambit.,knight's gambit.,94,94,1949.0,1949,uc1.32106013965824,4636
"fletcher, inglis","fletcher, mrs inglis (clark).",71,roanoke hundred a ,roanoke hundred a novel by inglis fletcher.,roanoke hundred.,roanoke hundred.,94,94,1948.0,1948,pst.000029712823,1250
"chambers, robert w. (robert william)","chambers, robert william.",79,drums of aulone ,the drums of aulone [by] robert w. chambers.,drums of aulone.,drums of aulone.,94,94,1927.0,1927,mdp.39015063511292,3498
"forster, e. m. (edward morgan)","forster, edward morgan.",83,collected tales ,the collected tales of e. m. forster.,collected tales.,collected tales.,94,94,1947.0,1947,mdp.39015003677039,4796
"curwood, james oliver","curwood, james oliver.",98,"plains of abraham, by james ol","the plains of abraham, by james oliver curwood.",plains of abraham.,plains of abraham.,94,94,1927.0,1928,mdp.39015063545167,565
"fitzgerald, barbara","fitzgerald, barbara.",97,we are besieged ,we are besieged barbara fitzgerald.,we are besieged.,we are besieged.,94,94,1946.0,1946,uc1.$b56568,1705
"fabricius, johan","fabricius, johan wigmore.",78,night over java by john fabric,night over java by john fabricius.,night over java.,night over java.,94,94,1946.0,1946,uc1.$b56552,2984
"curle, richard","curle, richard.",97,one and the other,"the one and the other, by richard curle.",one and the other.,the one and the other.,94,94,1928.0,1928,uc1.$b87198,510
"foldes, yolanda","foldes, jolan.",83,golden earrings ,golden earrings by yolanda foldes.,golden earrings.,golden earrings.,94,94,1945.0,1946,inu.30000132461256,1993
"cobb, irvin s. (irvin shrewsbury)","cobb, irvin shrewsbury.",79,this man's world [by] irvin s.,this man's world [by] irvin s. cobb ...,this man's world.,this man's world.,94,94,1929.0,1929,mdp.39015031222030,1489
"cozzens, james gould","cozzens, james gould.",98,son of perditio,the son of perdition james gould cozzens,son of perdition.,son of perdition.,94,94,1929.0,1929,uc1.b3687282,2491
"farrell, james t. (james thomas)","farrell, james thomas.",78,"my days of anger, by","my days of anger, by james t. farrell.",my days of anger.,my days of anger.,94,94,1943.0,1943,uc1.b3687374,3950
"frank, bruno","frank, bruno.",96,one fair daughter.,one fair daughter.,one fair daughter;,one fair daughter; tr.,94,94,1943.0,1943,uc1.$b164439,2641
"frankau, gilbert","frankau, gilbert.",97,world without e,world without end; a novel.,world without end.,world without end.,94,94,1943.0,1943,uc1.$b87322,2728
"feld, rose c. (rose caroline)","feld, rose caroline.",78,"sophie halenczik,","sophie halenczik, american, by rose c. feld; drawings by alajálov.",sophie halenczik.,sophie halenczik.,94,94,1943.0,1943,uc1.$b300227,4367
"footner, hulbert","footner, hulbert.",97,"anybody's pearls,","anybody's pearls, by hulbert footner.",anybody's pearls.,anybody's pearls.,94,94,1936.0,1930,mdp.39015003675595,2184
"carfrae, elizabeth","carfrae, elizabeth.",97,"lady by marriage, by el","lady by marriage, by elizabeth carfrae.",lady by marriage.,lady by marriage.,94,94,1935.0,1935,mdp.39015031223988,1425
"engstrand, stuart david","engstrand, stuart david.",98,son of the giant ,son of the giant by stuart engstrand.,son of the giant.,son of the giant.,94,94,1950.0,1950,uc1.$b101586,3164
"curran, dale","curran, dale.",96,piano in the ,piano in the band [by] dale curran.,piano in the band.,piano in the band.,94,94,1940.0,1940,mdp.39015055278512,3459
"frank, bruno","frank, bruno.",96,"days of the king,","the days of the king,",days of the king;,days of the king; tr.,94,94,1927.0,1928,mdp.39015064534905,907
"fielding, archibald e","fielding, archibald.",93,"clifford affair, b","the clifford affair, by a. fielding.",clifford affair.,clifford affair.,94,94,1927.0,1927,mdp.39015063942802,42
"calder-marshall, arthur","calder-marshall, arthur.",98,way to santiago;,the way to santiago; a novel [by] arthur calder-marshall.,way to santiago.,the way to santiago.,94,94,1940.0,1940,uc1.$b56343,3444
"fraser, ronald","fraser, ronald.",97,flower ph,"flower phantoms, by ronald fraser.",flower phantoms.,flower phantoms.,94,94,1926.0,1927,uc1.$b242899,615
"french, joseph lewis","french, joseph lewis, ed.",89,"sagas of the seas, by ame","sagas of the seas, by american writers, edited by joseph lewis french ...",sagas of the seas.,sagas of the seas.,94,94,1924.0,1924,uc1.$b557863,226
"fergusson, harvey","fergusson, harvey.",97,"women and wives, ","women and wives, by harvey ferguson...",women and wives.,women and wives.,94,94,1924.0,1924,uc1.$b244257,1827
"child, nellise","child, mrs nellise.",85,wolf on the fol,wolf on the fold by nellise child.,wolf on the fold.,wolf on the fold.,94,94,1941.0,1941,uc1.$b56379,3576
"farjeon, eleanor","farjeon, eleanor.",97,soul of kol ,"the soul of kol nikon, by eleanor farjeon ...",soul of kol nikon.,soul of kol nikon.,94,94,1923.0,1923,njp.32101067643732,1853
"cloman, flora smith clement","cloman, mrs flora (smith) clement.",89,"i'd live it over,","i'd live it over, by flora cloman.",i'd live it over.,i'd live it over.,94,94,1941.0,1941,coo.31924014014579,4227
"clark, walter van tilburg","clark, walter van tilburg.",98,"ox-bow incident, by walter ","the ox-bow incident, by walter van tilburg clark, with an introduction by clifton fadiman.",ox-bow incident.,ox-bow incident.,94,94,1942.0,1940,mdp.39015066052161,5931
"flandrau, grace","flandrau, grace hodgson.",77,being resp,being respectable by grace h. flandrau.,being respectable.,being respectable.,94,94,1923.0,1923,uc1.$b300254,2536
"cochran, hamilton","cochran, hamilton.",97,windward passage,"windward passage, a novel by hamilton cochran.",windward passage.,windward passage.,94,94,1942.0,1942,uc1.$b56388,2915
"footner, hulbert","footner, hulbert.",97,"ramshackle house,","ramshackle house, by hulbert footner.",ramshackle house.,ramshackle house.,94,94,1922.0,1923,nyp.33433075727705,2936
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,"ravensdene court, by j. s. f","ravensdene court, by j. s. fletcher.",ravensdene court.,ravensdene court.,94,94,1922.0,1922,mdp.39015063957339,1382
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,"herapath property, by j. s. ","the herapath property, by j. s. fletcher.",herapath property.,herapath property.,94,94,1921.0,1921,nyp.33433075728604,97
"farnol, jeffery","farnol, jeffery.",97,"black bartlemy's treasure, by ","black bartlemy's treasure, by jeffery farnol.",black bartlemy’s treasure.,black bartlemy’s treasure.,94,92,1920.0,1920,mdp.39015063552890,1692
"fox, frances barton","fox, frances barton.",97,heart of arethusa by frances b,the heart of arethusa by frances barton fox ; with a frontispiece by f.w. read.,heart of arethusa.,heart of arethusa.,94,94,1918.0,1918,nyp.33433074787627,1491
"frothingham, eugenia brooks","frothingham, eugenia brooks.",98,finding of norah ,the finding of norah by eugenia brooks frothingham.,finding of norah.,finding of norah.,94,94,1918.0,1918,nyp.33433076090376,18
"cross, john keir","cross, john keir.",97,other passenger ,the other passenger 18 strange stories by john keir cross ; with 8 colour plates by bruce angrave.,other passenger.,the other passenger.,94,94,1944.0,1946,inu.39000003355935,1142
"freeman, mary eleanor (wilkins), mrs","freeman, mary eleanor (wilkins) (mrs charles manning freeman).",71,edgewater people by mar,edgewater people by mary e. wilkins freeman ...,edgewater people.,edgewater people.,94,94,1918.0,1918,njp.32101063691156,1063
"frothingham, eugenia brooks","frothingham, eugenia brooks.",98,"way of the wind, ","the way of the wind, by eugenia brooks frothingham.",way of the wind.,way of the wind.,94,94,1917.0,1917,nyp.33433076090350,683
"ford, sewell","ford, sewell.",96,wilt thou torchy,wilt thou torchy,"wilt thou, torch","wilt thou, torchy.",94,94,1917.0,1917,uc2.ark+=13960=t9p26s82h,289
"firth, andrew",firth. andrew.,89,"furnace of iron,","the furnace of iron, by andrew firth ...",furnace of iron.,furnace of iron.,94,94,1915.0,1916,nyp.33433075727150,2617
"fleming, berry","fleming, berry.",97,conqueror's sto,the conqueror's stone by berry fleming.,conqueror's stone.,conqueror's stone.,94,94,1927.0,1927,uc1.$b104187,2164
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,"cartwright gardens murder, b","the cartwright gardens murder, by j. s. fletcher.",cartwrlght gardens murder.,cartwrlght gardens murder.,94,92,1928.0,1926,mdp.39015063918083,2997
"cambridge, elizabeth","cambridge, elizabeth.",98,"susan and joanna, [by] ","susan and joanna, [by] elizabeth cambridge [pseud.]",susan and joanna.,susan and joanna.,94,94,1935.0,1935,uc1.$b299755,1245
"ford, ford madox","ford, ford madox.",97,no more para,"no more parades; a novel, by ford madox ford.",no more parades.,no more parades.,94,94,1928.0,1926,mdp.39015002606757,3512
"fitzgerald, f. scott (francis scott)",fitzgerald. francis scott key.,76,"taps at reveille, by f. scott ","taps at reveille, by f. scott fitzgerald.",taps at reveille.,taps at reveille.,94,94,1935.0,1935,miun.abr7310.0001.001,2281
"fisher, vardis","fisher, vardis.",97,we are betrayed,we are betrayed [by] vardis fisher.,we are betrayed.,we are betrayed.,94,94,1935.0,1935,mdp.39015032645734,4219
"charteris, leslie","charteris, leslie.",97,saint in new ,the saint in new york [by] leslie charteris.,saint in new york.,saint in new york.,94,94,1935.0,1935,inu.39000003831653,3420
"flandrau, charles macomb","flandrau, charles macomb.",98,sophomores abroad ,sophomores abroad charles macomb flandrau.,sophomores abroad.,sophomores abroad.,94,94,1935.0,1935,uc1.$b244205,4487
"charteris, leslie","charteris, leslie.",97,saint overboa,saint overboard leslie charteris.,saint overboard.,saint overboard.,94,94,1936.0,1936,mdp.39015047538924,5533
"cozzens, james gould","cozzens, james gould.",98,men and brethre,men and brethren ... james gould cozzens.,men and brethren.,men and brethren.,94,94,1936.0,1936,mdp.39015066288138,2302
"chichester, francis, sir",chichester. francis charles.,77,"ride on the wind,","ride on the wind, by francis chichester.",ride on the wind.,ride on the wind.,94,94,1936.0,1937,uc1.$b32966,491
"fineman, irving","f1neman, irving.",90,lover,"lovers must learn,by irving fineman.",lovers must learn.,lovers must learn.,94,94,1932.0,1932,wu.89099799983,2937
"christy, sara","christy, sara.",96,magnolia square ,magnolia square by sara christy.,magnolia square.,magnolia square.,94,94,1936.0,1936,osu.32435053956165,284
"clarke, donald henderson","clarke, donald henderson.",98,"that mrs. renney, b","that mrs. renney, by donald henderson clarke.",that mrs renney.,that mrs renney.,94,94,1937.0,1937,mdp.39015059391774,5788
